date;Respiration;GSR;Temperature;CFM
06/03/2014 15:19:29.756;-10,644;-44,157;29,417;74
06/03/2014 15:19:29.787;-10,379;-44,157;29,417;74
06/03/2014 15:19:29.819;-10,168;-44,157;29,417;74
06/03/2014 15:19:29.850;-9,981;-44,157;29,417;74
06/03/2014 15:19:29.881;-9,833;-44,169;29,417;74
06/03/2014 15:19:29.912;-9,692;-44,169;29,417;74
06/03/2014 15:19:29.944;-9,575;-44,169;29,417;74
06/03/2014 15:19:29.975;-9,482;-44,169;29,417;74
06/03/2014 15:19:30.006;-9,427;-44,169;29,417;74
06/03/2014 15:19:30.037;-9,435;-44,169;29,417;74
06/03/2014 15:19:30.069;-9,396;-44,169;29,43;74
06/03/2014 15:19:30.100;-9,365;-44,169;29,417;74
06/03/2014 15:19:30.131;-9,365;-44,169;29,417;74
06/03/2014 15:19:30.162;-9,373;-44,169;29,417;74
06/03/2014 15:19:30.194;-9,435;-44,169;29,417;74
06/03/2014 15:19:30.225;-9,412;-44,169;29,417;74
06/03/2014 15:19:30.256;-9,443;-44,169;29,417;74
06/03/2014 15:19:30.287;-9,435;-44,169;29,417;74
06/03/2014 15:19:30.319;-9,443;-44,169;29,43;74
06/03/2014 15:19:30.350;-9,466;-44,169;29,417;74
06/03/2014 15:19:30.381;-9,497;-44,169;29,417;74
06/03/2014 15:19:30.412;-9,497;-44,169;29,417;74
06/03/2014 15:19:30.444;-9,521;-44,169;29,417;74
06/03/2014 15:19:30.475;-9,575;-44,169;29,417;74
06/03/2014 15:19:30.506;-9,607;-44,169;29,417;74
06/03/2014 15:19:30.537;-9,607;-44,182;29,417;74
06/03/2014 15:19:30.569;-9,646;-44,182;29,417;74
06/03/2014 15:19:30.600;-9,661;-44,182;29,417;74
06/03/2014 15:19:30.631;-9,755;-44,182;29,43;74
06/03/2014 15:19:30.662;-9,755;-44,182;29,417;74
06/03/2014 15:19:30.694;-9,739;-44,182;29,417;74
06/03/2014 15:19:30.725;-9,763;-44,182;29,417;74
06/03/2014 15:19:30.756;-9,763;-44,182;29,417;74
06/03/2014 15:19:30.787;-9,747;-44,182;29,417;74
06/03/2014 15:19:30.819;-9,778;-44,182;29,417;74
06/03/2014 15:19:30.850;-9,825;-44,182;29,417;74
06/03/2014 15:19:30.881;-9,841;-44,182;29,417;74
06/03/2014 15:19:30.912;-9,864;-44,182;29,417;74
06/03/2014 15:19:30.944;-9,848;-44,182;29,417;74
06/03/2014 15:19:30.975;-9,864;-44,182;29,417;74
06/03/2014 15:19:31.006;-9,887;-44,182;29,417;74
06/03/2014 15:19:31.037;-9,903;-44,182;29,417;74
06/03/2014 15:19:31.069;-9,911;-44,182;29,417;74
06/03/2014 15:19:31.100;-9,926;-44,182;29,417;74
06/03/2014 15:19:31.131;-9,919;-44,182;29,417;74
06/03/2014 15:19:31.162;-9,895;-44,182;29,417;74
06/03/2014 15:19:31.194;-9,903;-44,182;29,417;74
06/03/2014 15:19:31.225;-9,872;-44,182;29,417;74
06/03/2014 15:19:31.256;-9,903;-44,182;29,417;74
06/03/2014 15:19:31.287;-9,887;-44,182;29,417;74
06/03/2014 15:19:31.319;-9,887;-44,182;29,417;74
06/03/2014 15:19:31.350;-9,88;-44,182;29,417;74
06/03/2014 15:19:31.381;-9,887;-44,182;29,417;74
06/03/2014 15:19:31.412;-9,895;-44,182;29,417;74
06/03/2014 15:19:31.444;-9,88;-44,182;29,417;74
06/03/2014 15:19:31.475;-9,88;-44,182;29,417;74
06/03/2014 15:19:31.506;-9,95;-44,182;29,43;74
06/03/2014 15:19:31.537;-9,934;-44,182;29,417;74
06/03/2014 15:19:31.569;-9,911;-44,182;29,417;74
06/03/2014 15:19:31.600;-9,887;-44,182;29,417;74
06/03/2014 15:19:31.631;-9,895;-44,182;29,417;74
06/03/2014 15:19:31.662;-9,872;-44,182;29,417;74
06/03/2014 15:19:31.694;-9,895;-44,182;29,417;74
06/03/2014 15:19:31.725;-9,833;-44,182;29,417;74
06/03/2014 15:19:31.756;-9,802;-44,182;29,417;74
06/03/2014 15:19:31.787;-9,747;-44,182;29,417;74
06/03/2014 15:19:31.819;-9,739;-44,182;29,417;74
06/03/2014 15:19:31.850;-9,731;-44,182;29,417;74
06/03/2014 15:19:31.881;-9,708;-44,182;29,417;74
06/03/2014 15:19:31.912;-9,669;-44,182;29,417;74
06/03/2014 15:19:31.944;-9,63;-44,182;29,43;74
06/03/2014 15:19:31.975;-9,591;-44,182;29,417;74
06/03/2014 15:19:32.006;-9,544;-44,182;29,417;74
06/03/2014 15:19:32.037;-9,505;-44,182;29,417;74
06/03/2014 15:19:32.069;-9,443;-44,182;29,417;74
06/03/2014 15:19:32.100;-9,388;-44,182;29,417;74
06/03/2014 15:19:32.131;-9,349;-44,182;29,43;74
06/03/2014 15:19:32.162;-9,287;-44,182;29,417;74
06/03/2014 15:19:32.194;-9,256;-44,182;29,417;74
06/03/2014 15:19:32.225;-9,201;-44,182;29,417;74
06/03/2014 15:19:32.256;-9,178;-44,182;29,417;74
06/03/2014 15:19:32.287;-9,131;-44,182;29,417;74
06/03/2014 15:19:32.319;-9,115;-44,182;29,417;74
06/03/2014 15:19:32.350;-9,053;-44,182;29,417;74
06/03/2014 15:19:32.381;-9,045;-44,182;29,417;74
06/03/2014 15:19:32.412;-8,983;-44,182;29,417;74
06/03/2014 15:19:32.444;-8,975;-44,182;29,417;74
06/03/2014 15:19:32.475;-8,959;-44,182;29,417;74
06/03/2014 15:19:32.506;-8,936;-44,182;29,417;74
06/03/2014 15:19:32.537;-8,959;-44,182;29,417;74
06/03/2014 15:19:32.569;-8,912;-44,182;29,417;74
06/03/2014 15:19:32.600;-8,928;-44,182;29,417;74
06/03/2014 15:19:32.631;-8,92;-44,182;29,417;74
06/03/2014 15:19:32.662;-8,92;-44,182;29,417;74
06/03/2014 15:19:32.694;-8,944;-44,182;29,417;74
06/03/2014 15:19:32.725;-8,936;-44,182;29,417;74
06/03/2014 15:19:32.756;-8,928;-44,182;29,417;74
06/03/2014 15:19:32.787;-8,959;-44,182;29,417;74
06/03/2014 15:19:32.819;-9,006;-44,182;29,417;74
06/03/2014 15:19:32.850;-9,061;-44,182;29,417;74
06/03/2014 15:19:32.881;-9,092;-44,182;29,417;74
06/03/2014 15:19:32.912;-9,146;-44,182;29,417;74
06/03/2014 15:19:32.944;-9,17;-44,182;29,43;74
06/03/2014 15:19:32.975;-9,201;-44,182;29,417;74
06/03/2014 15:19:33.006;-9,232;-44,182;29,417;74
06/03/2014 15:19:33.037;-9,279;-44,182;29,417;74
06/03/2014 15:19:33.069;-9,326;-44,182;29,417;74
06/03/2014 15:19:33.100;-9,38;-44,182;29,417;74
06/03/2014 15:19:33.131;-9,412;-44,182;29,417;74
06/03/2014 15:19:33.162;-9,458;-44,182;29,417;74
06/03/2014 15:19:33.194;-9,451;-44,182;29,417;74
06/03/2014 15:19:33.225;-9,49;-44,182;29,417;74
06/03/2014 15:19:33.256;-9,63;-44,182;29,417;74
06/03/2014 15:19:33.287;-9,7;-44,182;29,417;74
06/03/2014 15:19:33.319;-9,708;-44,182;29,417;74
06/03/2014 15:19:33.350;-9,747;-44,182;29,417;74
06/03/2014 15:19:33.381;-9,763;-44,182;29,417;73
06/03/2014 15:19:33.412;-9,802;-44,182;29,417;73
06/03/2014 15:19:33.444;-9,817;-44,182;29,417;73
06/03/2014 15:19:33.475;-9,833;-44,182;29,43;73
06/03/2014 15:19:33.506;-9,872;-44,182;29,417;73
06/03/2014 15:19:33.537;-9,848;-44,182;29,417;73
06/03/2014 15:19:33.569;-9,864;-44,182;29,417;73
06/03/2014 15:19:33.600;-9,864;-44,182;29,417;73
06/03/2014 15:19:33.631;-9,88;-44,182;29,417;73
06/03/2014 15:19:33.662;-9,864;-44,182;29,417;73
06/03/2014 15:19:33.694;-9,911;-44,182;29,417;73
06/03/2014 15:19:33.725;-9,911;-44,182;29,417;73
06/03/2014 15:19:33.756;-9,895;-44,182;29,417;73
06/03/2014 15:19:33.787;-9,887;-44,182;29,417;73
06/03/2014 15:19:33.819;-9,895;-44,194;29,417;73
06/03/2014 15:19:33.850;-9,88;-44,194;29,417;73
06/03/2014 15:19:33.881;-9,895;-44,194;29,417;73
06/03/2014 15:19:33.912;-9,872;-44,194;29,417;73
06/03/2014 15:19:33.944;-9,887;-44,194;29,43;73
06/03/2014 15:19:33.975;-9,887;-44,194;29,417;73
06/03/2014 15:19:34.006;-9,872;-44,194;29,417;73
06/03/2014 15:19:34.037;-9,895;-44,194;29,43;73
06/03/2014 15:19:34.069;-9,903;-44,194;29,417;73
06/03/2014 15:19:34.100;-9,919;-44,194;29,417;73
06/03/2014 15:19:34.131;-9,973;-44,194;29,417;73
06/03/2014 15:19:34.162;-9,989;-44,194;29,417;73
06/03/2014 15:19:34.194;-10,004;-44,194;29,417;73
06/03/2014 15:19:34.225;-10,036;-44,194;29,417;73
06/03/2014 15:19:34.256;-10,004;-44,194;29,417;73
06/03/2014 15:19:34.287;-10,028;-44,194;29,417;73
06/03/2014 15:19:34.319;-10,02;-44,194;29,417;73
06/03/2014 15:19:34.350;-10,028;-44,194;29,417;73
06/03/2014 15:19:34.381;-10,004;-44,194;29,417;73
06/03/2014 15:19:34.412;-9,997;-44,194;29,417;73
06/03/2014 15:19:34.444;-10,004;-44,194;29,417;73
06/03/2014 15:19:34.475;-9,997;-44,194;29,417;73
06/03/2014 15:19:34.506;-9,981;-44,194;29,417;73
06/03/2014 15:19:34.537;-9,989;-44,194;29,417;73
06/03/2014 15:19:34.569;-9,981;-44,194;29,417;73
06/03/2014 15:19:34.600;-9,981;-44,194;29,43;73
06/03/2014 15:19:34.631;-9,958;-44,194;29,417;73
06/03/2014 15:19:34.662;-9,958;-44,194;29,417;73
06/03/2014 15:19:34.694;-9,942;-44,194;29,417;73
06/03/2014 15:19:34.725;-9,903;-44,194;29,417;73
06/03/2014 15:19:34.756;-9,872;-44,194;29,417;73
06/03/2014 15:19:34.787;-9,825;-44,194;29,417;73
06/03/2014 15:19:34.819;-9,778;-44,194;29,417;73
06/03/2014 15:19:34.850;-9,747;-44,194;29,417;73
06/03/2014 15:19:34.881;-9,755;-44,194;29,417;73
06/03/2014 15:19:34.912;-9,739;-44,194;29,417;73
06/03/2014 15:19:34.944;-9,708;-44,194;29,417;73
06/03/2014 15:19:34.975;-9,692;-44,194;29,417;73
06/03/2014 15:19:35.006;-9,817;-44,194;29,417;72
06/03/2014 15:19:35.037;-9,786;-44,194;29,417;72
06/03/2014 15:19:35.069;-9,708;-44,194;29,417;72
06/03/2014 15:19:35.100;-9,685;-44,194;29,417;72
06/03/2014 15:19:35.131;-9,622;-44,194;29,417;72
06/03/2014 15:19:35.162;-9,568;-44,194;29,417;72
06/03/2014 15:19:35.194;-9,521;-44,194;29,417;72
06/03/2014 15:19:35.225;-9,435;-44,194;29,417;72
06/03/2014 15:19:35.256;-9,396;-44,194;29,417;72
06/03/2014 15:19:35.287;-9,349;-44,194;29,417;72
06/03/2014 15:19:35.319;-9,287;-44,194;29,417;72
06/03/2014 15:19:35.350;-9,263;-44,194;29,417;72
06/03/2014 15:19:35.381;-9,193;-44,194;29,417;72
06/03/2014 15:19:35.412;-9,162;-44,194;29,417;72
06/03/2014 15:19:35.444;-9,146;-44,194;29,417;72
06/03/2014 15:19:35.475;-9,084;-44,194;29,417;72
06/03/2014 15:19:35.506;-9,068;-44,194;29,417;72
06/03/2014 15:19:35.537;-9,053;-44,194;29,417;72
06/03/2014 15:19:35.569;-9,006;-44,194;29,417;72
06/03/2014 15:19:35.600;-8,951;-44,194;29,417;72
06/03/2014 15:19:35.631;-8,92;-44,194;29,417;72
06/03/2014 15:19:35.662;-8,912;-44,194;29,417;72
06/03/2014 15:19:35.694;-8,944;-44,194;29,417;72
06/03/2014 15:19:35.725;-8,99;-44,194;29,417;72
06/03/2014 15:19:35.756;-9,006;-44,194;29,417;72
06/03/2014 15:19:35.787;-9,029;-44,194;29,417;72
06/03/2014 15:19:35.819;-9,061;-44,194;29,417;72
06/03/2014 15:19:35.850;-9,1;-44,194;29,417;72
06/03/2014 15:19:35.881;-8,382;-44,194;29,417;72
06/03/2014 15:19:35.912;-9,014;-44,194;29,417;72
06/03/2014 15:19:35.944;-9,919;-44,194;29,417;72
06/03/2014 15:19:35.975;-9,848;-44,194;29,417;72
06/03/2014 15:19:36.006;-9,833;-44,194;29,417;72
06/03/2014 15:19:36.037;-9,786;-44,194;29,417;72
06/03/2014 15:19:36.069;-9,755;-44,194;29,417;72
06/03/2014 15:19:36.100;-9,755;-44,194;29,417;72
06/03/2014 15:19:36.131;-9,755;-44,194;29,417;72
06/03/2014 15:19:36.162;-9,77;-44,194;29,417;72
06/03/2014 15:19:36.194;-9,786;-44,194;29,417;72
06/03/2014 15:19:36.225;-9,794;-44,194;29,417;72
06/03/2014 15:19:36.256;-9,809;-44,194;29,417;72
06/03/2014 15:19:36.287;-9,817;-44,194;29,417;72
06/03/2014 15:19:36.319;-9,848;-44,194;29,417;72
06/03/2014 15:19:36.350;-9,848;-44,194;29,417;72
06/03/2014 15:19:36.381;-9,848;-44,194;29,417;72
06/03/2014 15:19:36.412;-9,848;-44,194;29,417;72
06/03/2014 15:19:36.444;-9,817;-44,194;29,417;72
06/03/2014 15:19:36.475;-9,895;-44,194;29,417;72
06/03/2014 15:19:36.506;-9,919;-44,194;29,417;72
06/03/2014 15:19:36.537;-9,926;-44,194;29,417;72
06/03/2014 15:19:36.569;-9,934;-44,194;29,417;73
06/03/2014 15:19:36.600;-9,965;-44,194;29,417;73
06/03/2014 15:19:36.631;-9,973;-44,194;29,417;73
