date;Respiration;GSR;Temperature;CFM
25/02/2014 15:59:07.240;-17,633;-33,033;27,203;83
25/02/2014 15:59:07.271;-17,438;-32,995;27,203;83
25/02/2014 15:59:07.303;-17,212;-32,958;27,215;83
25/02/2014 15:59:07.334;-17,063;-32,908;27,203;83
25/02/2014 15:59:07.365;-16,892;-32,87;27,203;83
25/02/2014 15:59:07.396;-16,775;-32,833;27,203;83
25/02/2014 15:59:07.428;-16,642;-32,783;27,203;83
25/02/2014 15:59:07.459;-16,556;-32,733;27,203;83
25/02/2014 15:59:07.490;-16,471;-32,72;27,203;82
25/02/2014 15:59:07.521;-16,408;-32,708;27,203;82
25/02/2014 15:59:07.553;-16,354;-32,695;27,203;82
25/02/2014 15:59:07.584;-16,283;-32,695;27,203;82
25/02/2014 15:59:07.615;-16,221;-32,683;27,203;82
25/02/2014 15:59:07.646;-16,166;-32,67;27,203;82
25/02/2014 15:59:07.678;-16,143;-32,658;27,203;82
25/02/2014 15:59:07.709;-16,057;-32,645;27,203;82
25/02/2014 15:59:07.740;-16,057;-32,633;27,203;82
25/02/2014 15:59:07.771;-16,042;-32,62;27,203;82
25/02/2014 15:59:07.803;-15,971;-32,608;27,203;82
25/02/2014 15:59:07.834;-15,932;-32,595;27,203;82
25/02/2014 15:59:07.865;-15,893;-32,582;27,203;82
25/02/2014 15:59:07.896;-15,893;-32,57;27,203;82
25/02/2014 15:59:07.928;-15,87;-32,557;27,203;82
25/02/2014 15:59:07.959;-15,854;-32,545;27,203;82
25/02/2014 15:59:07.990;-15,823;-32,545;27,203;82
25/02/2014 15:59:08.021;-15,761;-32,532;27,203;82
25/02/2014 15:59:08.053;-15,753;-32,52;27,203;82
25/02/2014 15:59:08.084;-15,753;-32,507;27,203;82
25/02/2014 15:59:08.115;-15,956;-32,47;27,253;82
25/02/2014 15:59:08.146;-15,909;-32,457;27,203;82
25/02/2014 15:59:08.178;-15,831;-32,445;27,203;82
25/02/2014 15:59:08.209;-15,792;-32,432;27,203;82
25/02/2014 15:59:08.240;-15,776;-32,432;27,203;82
25/02/2014 15:59:08.271;-15,698;-32,42;27,203;82
25/02/2014 15:59:08.303;-15,691;-32,42;27,203;82
25/02/2014 15:59:08.334;-15,652;-32,407;27,203;82
25/02/2014 15:59:08.365;-15,62;-32,432;27,203;82
25/02/2014 15:59:08.396;-15,55;-32,432;27,203;82
25/02/2014 15:59:08.428;-15,542;-32,42;27,203;82
25/02/2014 15:59:08.459;-15,511;-32,42;27,203;82
25/02/2014 15:59:08.490;-15,48;-32,407;27,203;82
25/02/2014 15:59:08.521;-15,464;-32,395;27,203;82
25/02/2014 15:59:08.553;-15,737;-32,357;27,278;82
25/02/2014 15:59:08.584;-15,667;-32,345;27,203;82
25/02/2014 15:59:08.615;-15,636;-32,345;27,203;82
25/02/2014 15:59:08.646;-15,605;-32,332;27,203;82
25/02/2014 15:59:08.678;-15,581;-32,332;27,203;82
25/02/2014 15:59:08.709;-15,613;-32,332;27,203;82
25/02/2014 15:59:08.740;-15,589;-32,32;27,203;82
25/02/2014 15:59:08.771;-15,581;-32,32;27,203;82
25/02/2014 15:59:08.803;-15,589;-32,345;27,203;82
25/02/2014 15:59:08.834;-15,597;-32,345;27,203;82
25/02/2014 15:59:08.865;-15,605;-32,345;27,203;83
25/02/2014 15:59:08.896;-15,597;-32,345;27,203;83
