date;Respiration;GSR;Temperature;CFM
20/02/2014 10:25:23.464;6,688;-42,105;25,701;71
20/02/2014 10:25:23.495;6,953;-42,055;25,701;71
20/02/2014 10:25:23.527;7,132;-41,992;25,701;71
20/02/2014 10:25:23.558;7,327;-41,942;25,701;71
20/02/2014 10:25:23.589;7,53;-41,892;25,701;71
20/02/2014 10:25:23.620;7,694;-41,842;25,701;71
20/02/2014 10:25:23.652;7,889;-41,792;25,701;71
20/02/2014 10:25:23.683;8,014;-41,729;25,701;71
20/02/2014 10:25:23.714;8,131;-41,729;25,701;71
20/02/2014 10:25:23.745;8,255;-41,729;25,689;71
20/02/2014 10:25:23.777;8,349;-41,729;25,689;71
20/02/2014 10:25:23.808;8,521;-41,729;25,689;71
20/02/2014 10:25:23.839;8,684;-41,729;25,689;71
20/02/2014 10:25:23.870;8,872;-41,729;25,689;71
20/02/2014 10:25:23.902;8,747;-41,717;25,751;71
20/02/2014 10:25:23.933;8,926;-41,717;25,689;71
20/02/2014 10:25:23.964;9,09;-41,717;25,689;71
20/02/2014 10:25:23.995;9,254;-41,717;25,689;71
20/02/2014 10:25:24.027;9,379;-41,704;25,689;71
20/02/2014 10:25:24.058;9,527;-41,704;25,689;71
20/02/2014 10:25:24.089;9,761;-41,704;25,689;71
20/02/2014 10:25:24.120;9,901;-41,692;25,689;71
20/02/2014 10:25:24.152;9,987;-41,704;25,689;71
20/02/2014 10:25:24.183;10,073;-41,692;25,689;71
20/02/2014 10:25:24.214;10,26;-41,692;25,676;71
20/02/2014 10:25:24.245;10,471;-41,692;25,676;71
20/02/2014 10:25:24.277;10,658;-41,692;25,676;72
20/02/2014 10:25:24.308;10,79;-41,692;25,676;72
20/02/2014 10:25:24.339;10,728;-41,679;25,714;72
20/02/2014 10:25:24.370;10,946;-41,679;25,676;72
20/02/2014 10:25:24.402;11,149;-41,679;25,664;72
20/02/2014 10:25:24.433;11,329;-41,679;25,664;72
20/02/2014 10:25:24.464;11,469;-41,679;25,664;72
20/02/2014 10:25:24.495;11,609;-41,667;25,664;72
20/02/2014 10:25:24.527;11,797;-41,667;25,664;72
20/02/2014 10:25:24.558;12,023;-41,667;25,664;72
20/02/2014 10:25:24.589;12,249;-41,667;25,664;72
20/02/2014 10:25:24.620;12,436;-41,667;25,664;72
20/02/2014 10:25:24.652;12,6;-41,667;25,651;72
20/02/2014 10:25:24.683;12,748;-41,667;25,651;72
20/02/2014 10:25:24.714;12,881;-41,667;25,651;72
20/02/2014 10:25:24.745;12,951;-41,667;25,651;72
20/02/2014 10:25:24.777;12,85;-41,667;25,664;72
20/02/2014 10:25:24.808;12,974;-41,667;25,651;72
20/02/2014 10:25:24.839;13,138;-41,667;25,664;72
20/02/2014 10:25:24.870;13,185;-41,667;25,651;72
