date;Respiration;GSR;Temperature;CFM
16/02/2014 14:21:36.499;-10,855;-47,773;21,572;77
16/02/2014 14:21:36.530;-10,636;-47,81;21,572;77
16/02/2014 14:21:36.562;-10,433;-47,835;21,572;77
16/02/2014 14:21:36.593;-10,285;-47,86;21,572;77
16/02/2014 14:21:36.624;-10,137;-47,885;21,572;77
16/02/2014 14:21:36.655;-10,004;-47,923;21,572;77
16/02/2014 14:21:36.687;-9,926;-47,948;21,572;77
16/02/2014 14:21:36.718;-9,864;-47,973;21,572;77
16/02/2014 14:21:36.749;-9,77;-47,973;21,585;76
16/02/2014 14:21:36.780;-9,708;-47,973;21,585;76
16/02/2014 14:21:36.812;-9,646;-47,973;21,585;76
16/02/2014 14:21:36.843;-9,591;-47,973;21,585;76
16/02/2014 14:21:36.874;-9,521;-47,973;21,572;76
16/02/2014 14:21:36.905;-9,49;-47,973;21,585;76
16/02/2014 14:21:36.937;-9,544;-47,973;21,585;76
16/02/2014 14:21:36.968;-9,482;-47,973;21,585;76
16/02/2014 14:21:36.999;-9,458;-47,973;21,585;76
16/02/2014 14:21:37.030;-9,427;-47,973;21,585;76
16/02/2014 14:21:37.062;-9,404;-47,973;21,585;76
16/02/2014 14:21:37.093;-9,388;-47,973;21,585;76
16/02/2014 14:21:37.124;-9,357;-47,973;21,585;76
16/02/2014 14:21:37.155;-9,349;-47,973;21,585;76
16/02/2014 14:21:37.187;-9,357;-47,973;21,585;76
16/02/2014 14:21:37.218;-9,326;-47,973;21,585;76
16/02/2014 14:21:37.249;-9,318;-47,973;21,585;76
16/02/2014 14:21:37.280;-9,318;-47,973;21,585;76
16/02/2014 14:21:37.312;-9,31;-47,973;21,585;76
16/02/2014 14:21:37.343;-9,287;-47,973;21,585;76
16/02/2014 14:21:37.374;-9,341;-47,973;21,585;76
16/02/2014 14:21:37.405;-9,318;-47,973;21,585;76
16/02/2014 14:21:37.437;-9,287;-47,973;21,585;76
16/02/2014 14:21:37.468;-9,318;-47,973;21,585;76
16/02/2014 14:21:37.499;-9,263;-47,973;21,585;76
16/02/2014 14:21:37.530;-9,287;-47,973;21,597;76
16/02/2014 14:21:37.562;-9,209;-47,973;21,597;76
16/02/2014 14:21:37.593;-9,201;-47,973;21,585;76
16/02/2014 14:21:37.624;-9,193;-47,973;21,597;76
16/02/2014 14:21:37.655;-9,17;-47,973;21,597;76
16/02/2014 14:21:37.687;-9,139;-47,973;21,597;76
16/02/2014 14:21:37.718;-9,123;-47,973;21,597;76
16/02/2014 14:21:37.749;-9,139;-47,973;21,597;76
16/02/2014 14:21:37.780;-9,092;-47,973;21,597;76
16/02/2014 14:21:37.812;-9,068;-47,973;21,597;76
16/02/2014 14:21:37.843;-9,076;-47,973;21,597;76
16/02/2014 14:21:37.874;-9,045;-47,973;21,597;76
16/02/2014 14:21:37.905;-8,889;-47,973;21,597;76
16/02/2014 14:21:37.937;-8,725;-47,973;21,597;76
16/02/2014 14:21:37.968;-8,694;-47,973;21,597;76
16/02/2014 14:21:37.999;-8,678;-47,973;21,61;76
16/02/2014 14:21:38.030;-8,608;-47,973;21,61;76
16/02/2014 14:21:38.062;-8,616;-47,973;21,597;76
16/02/2014 14:21:38.093;-8,632;-47,973;21,61;76
16/02/2014 14:21:38.124;-8,694;-47,973;21,61;76
16/02/2014 14:21:38.155;-8,71;-47,973;21,61;76
16/02/2014 14:21:38.187;-8,764;-47,973;21,61;76
16/02/2014 14:21:38.218;-8,803;-47,973;21,61;76
16/02/2014 14:21:38.249;-8,897;-47,973;21,61;76
16/02/2014 14:21:38.280;-8,928;-47,973;21,61;76
16/02/2014 14:21:38.312;-8,951;-47,973;21,61;76
16/02/2014 14:21:38.343;-8,983;-47,973;21,61;76
16/02/2014 14:21:38.374;-9,022;-47,973;21,61;75
16/02/2014 14:21:38.405;-9,076;-47,973;21,61;75
16/02/2014 14:21:38.437;-9,131;-47,973;21,61;75
16/02/2014 14:21:38.468;-9,185;-47,973;21,61;75
16/02/2014 14:21:38.499;-9,217;-47,973;21,61;75
16/02/2014 14:21:38.530;-9,279;-47,973;21,61;75
16/02/2014 14:21:38.562;-9,357;-47,973;21,622;75
16/02/2014 14:21:38.593;-9,349;-47,973;21,622;75
16/02/2014 14:21:38.624;-9,349;-47,973;21,61;75
16/02/2014 14:21:38.655;-9,365;-47,973;21,622;75
16/02/2014 14:21:38.687;-9,341;-47,973;21,622;75
16/02/2014 14:21:38.718;-9,334;-47,973;21,622;75
16/02/2014 14:21:38.749;-9,318;-47,973;21,622;75
16/02/2014 14:21:38.780;-9,341;-47,973;21,622;75
16/02/2014 14:21:38.812;-9,302;-47,973;21,622;75
16/02/2014 14:21:38.843;-9,279;-47,973;21,622;75
16/02/2014 14:21:38.874;-9,318;-47,973;21,622;75
16/02/2014 14:21:38.905;-9,271;-47,973;21,635;75
16/02/2014 14:21:38.937;-9,279;-47,973;21,635;75
16/02/2014 14:21:38.968;-9,256;-47,973;21,622;75
16/02/2014 14:21:38.999;-9,248;-47,973;21,622;75
16/02/2014 14:21:39.030;-9,256;-47,973;21,635;75
16/02/2014 14:21:39.062;-9,295;-47,973;21,635;75
16/02/2014 14:21:39.093;-9,326;-47,973;21,635;75
16/02/2014 14:21:39.124;-9,318;-47,973;21,635;75
16/02/2014 14:21:39.155;-9,318;-47,973;21,635;75
16/02/2014 14:21:39.187;-9,326;-47,973;21,635;75
16/02/2014 14:21:39.218;-9,302;-47,973;21,635;75
16/02/2014 14:21:39.249;-9,31;-47,973;21,635;75
16/02/2014 14:21:39.280;-9,31;-47,973;21,635;75
16/02/2014 14:21:39.312;-9,279;-47,973;21,635;75
16/02/2014 14:21:39.343;-9,302;-47,973;21,635;75
16/02/2014 14:21:39.374;-9,256;-47,973;21,635;75
16/02/2014 14:21:39.405;-9,279;-47,973;21,635;75
16/02/2014 14:21:39.437;-9,256;-47,973;21,635;75
16/02/2014 14:21:39.468;-9,24;-47,973;21,635;75
16/02/2014 14:21:39.499;-9,201;-47,973;21,635;75
16/02/2014 14:21:39.530;-9,193;-47,973;21,635;75
16/02/2014 14:21:39.562;-9,193;-47,973;21,635;75
16/02/2014 14:21:39.593;-9,146;-47,973;21,635;75
16/02/2014 14:21:39.624;-9,162;-47,973;21,635;75
16/02/2014 14:21:39.655;-9,146;-47,973;21,635;75
16/02/2014 14:21:39.687;-9,107;-47,973;21,647;75
16/02/2014 14:21:39.718;-9,084;-47,973;21,635;75
16/02/2014 14:21:39.749;-9,076;-47,973;21,635;75
16/02/2014 14:21:39.780;-9,061;-47,973;21,635;75
16/02/2014 14:21:39.812;-9,029;-47,973;21,635;75
16/02/2014 14:21:39.843;-9,029;-47,973;21,635;75
16/02/2014 14:21:39.874;-8,998;-47,973;21,635;75
16/02/2014 14:21:39.905;-8,99;-47,973;21,635;75
16/02/2014 14:21:39.937;-8,959;-47,973;21,635;74
16/02/2014 14:21:39.968;-8,951;-47,973;21,635;74
16/02/2014 14:21:39.999;-8,936;-47,973;21,635;74
16/02/2014 14:21:40.030;-8,936;-47,973;21,635;74
16/02/2014 14:21:40.062;-8,944;-47,973;21,635;74
16/02/2014 14:21:40.093;-8,912;-47,973;21,635;74
16/02/2014 14:21:40.124;-8,951;-47,973;21,635;74
16/02/2014 14:21:40.155;-8,92;-47,973;21,635;74
16/02/2014 14:21:40.187;-8,912;-47,973;21,635;74
16/02/2014 14:21:40.218;-8,912;-47,973;21,635;74
16/02/2014 14:21:40.249;-8,92;-47,973;21,635;74
16/02/2014 14:21:40.280;-8,944;-47,973;21,635;74
16/02/2014 14:21:40.312;-8,897;-47,973;21,635;74
16/02/2014 14:21:40.343;-8,936;-47,973;21,635;74
16/02/2014 14:21:40.374;-8,928;-47,973;21,635;74
16/02/2014 14:21:40.405;-8,975;-47,973;21,635;74
16/02/2014 14:21:40.437;-8,99;-47,973;21,635;74
16/02/2014 14:21:40.468;-9,022;-47,973;21,635;74
16/02/2014 14:21:40.499;-9,053;-47,973;21,635;74
16/02/2014 14:21:40.530;-9,029;-47,973;21,635;74
16/02/2014 14:21:40.562;-9,053;-47,973;21,635;74
16/02/2014 14:21:40.593;-9,037;-47,973;21,635;74
16/02/2014 14:21:40.624;-9,068;-47,973;21,635;74
16/02/2014 14:21:40.655;-9,053;-47,973;21,635;74
16/02/2014 14:21:40.687;-9,076;-47,973;21,635;74
16/02/2014 14:21:40.718;-9,084;-47,973;21,622;74
