date;Respiration;GSR;Temperature;CFM
03/03/2014 11:01:53.404;0,479;-42,705;22,623;58
03/03/2014 11:01:53.435;0,76;-42,705;22,623;58
03/03/2014 11:01:53.467;0,947;-42,705;22,636;58
03/03/2014 11:01:53.498;1,126;-42,705;22,623;58
03/03/2014 11:01:53.529;1,306;-42,705;22,636;58
03/03/2014 11:01:53.560;1,43;-42,693;22,636;58
03/03/2014 11:01:53.592;1,555;-42,693;22,636;58
03/03/2014 11:01:53.623;1,664;-42,693;22,636;58
03/03/2014 11:01:53.654;1,735;-42,693;22,636;58
03/03/2014 11:01:53.685;1,836;-42,693;22,636;58
03/03/2014 11:01:53.717;1,906;-42,693;22,636;58
03/03/2014 11:01:53.748;1,961;-42,693;22,636;58
03/03/2014 11:01:53.779;2,015;-42,693;22,648;58
03/03/2014 11:01:53.810;2,07;-42,693;22,636;58
03/03/2014 11:01:53.842;1,891;-42,693;22,661;58
03/03/2014 11:01:53.873;1,937;-42,693;22,648;58
03/03/2014 11:01:53.904;1,992;-42,693;22,648;58
03/03/2014 11:01:53.935;2,054;-42,693;22,648;58
03/03/2014 11:01:53.967;2,078;-42,693;22,648;58
03/03/2014 11:01:53.998;2,109;-42,693;22,648;58
03/03/2014 11:01:54.029;2,187;-42,693;22,648;58
03/03/2014 11:01:54.060;2,21;-42,693;22,661;58
03/03/2014 11:01:54.092;2,257;-42,705;22,661;58
03/03/2014 11:01:54.123;2,273;-42,705;22,661;58
03/03/2014 11:01:54.154;2,234;-42,705;22,661;58
03/03/2014 11:01:54.185;2,249;-42,705;22,661;58
03/03/2014 11:01:54.217;2,242;-42,705;22,661;58
03/03/2014 11:01:54.248;2,242;-42,705;22,661;58
03/03/2014 11:01:54.279;2,054;-42,693;22,673;58
03/03/2014 11:01:54.310;2,039;-42,693;22,661;58
03/03/2014 11:01:54.342;2,062;-42,693;22,661;58
03/03/2014 11:01:54.373;2,062;-42,705;22,673;58
03/03/2014 11:01:54.404;2,078;-42,705;22,673;58
03/03/2014 11:01:54.435;2,062;-42,705;22,673;58
03/03/2014 11:01:54.467;2,07;-42,705;22,673;58
03/03/2014 11:01:54.498;2,078;-42,705;22,673;58
03/03/2014 11:01:54.529;2,101;-42,705;22,673;58
03/03/2014 11:01:54.560;2,117;-42,705;22,673;58
03/03/2014 11:01:54.592;2,179;-42,705;22,673;58
03/03/2014 11:01:54.623;2,203;-42,705;22,673;58
03/03/2014 11:01:54.654;2,234;-42,705;22,673;58
03/03/2014 11:01:54.685;2,242;-42,705;22,686;58
03/03/2014 11:01:54.717;1,961;-42,705;22,711;58
03/03/2014 11:01:54.748;2,008;-42,705;22,673;58
03/03/2014 11:01:54.779;2,015;-42,705;22,673;58
03/03/2014 11:01:54.810;2,062;-42,705;22,686;58
03/03/2014 11:01:54.842;2,054;-42,705;22,686;58
03/03/2014 11:01:54.873;2,07;-42,705;22,686;58
03/03/2014 11:01:54.904;2,117;-42,705;22,686;58
03/03/2014 11:01:54.935;2,101;-42,705;22,686;58
03/03/2014 11:01:54.967;2,164;-42,718;22,686;58
03/03/2014 11:01:54.998;2,179;-42,718;22,686;58
03/03/2014 11:01:55.029;2,218;-42,718;22,686;58
03/03/2014 11:01:55.060;2,257;-42,718;22,686;58
03/03/2014 11:01:55.092;2,288;-42,718;22,686;58
03/03/2014 11:01:55.123;2,351;-42,718;22,698;58
03/03/2014 11:01:55.154;2,148;-42,718;22,698;58
03/03/2014 11:01:55.185;2,288;-42,718;22,698;58
03/03/2014 11:01:55.217;2,39;-42,718;22,698;58
03/03/2014 11:01:55.248;2,452;-42,718;22,698;58
03/03/2014 11:01:55.279;2,499;-42,718;22,698;58
03/03/2014 11:01:55.310;2,577;-42,718;22,698;58
03/03/2014 11:01:55.342;2,655;-42,718;22,698;57
03/03/2014 11:01:55.373;2,733;-42,718;22,698;57
03/03/2014 11:01:55.404;2,795;-42,73;22,698;57
03/03/2014 11:01:55.435;2,858;-42,73;22,698;57
03/03/2014 11:01:55.467;2,951;-42,73;22,698;57
03/03/2014 11:01:55.498;3,029;-42,73;22,698;57
03/03/2014 11:01:55.529;3,092;-42,73;22,698;57
03/03/2014 11:01:55.560;3,154;-42,73;22,698;57
03/03/2014 11:01:55.592;3,029;-42,73;22,773;57
03/03/2014 11:01:55.623;3,115;-42,73;22,711;57
03/03/2014 11:01:55.654;3,232;-42,73;22,711;57
03/03/2014 11:01:55.685;3,302;-42,73;22,711;57
03/03/2014 11:01:55.717;3,412;-42,73;22,711;57
03/03/2014 11:01:55.748;3,544;-42,73;22,711;57
03/03/2014 11:01:55.779;3,638;-42,73;22,711;57
03/03/2014 11:01:55.810;3,755;-42,73;22,711;57
03/03/2014 11:01:55.842;3,88;-42,743;22,711;57
03/03/2014 11:01:55.873;3,989;-42,743;22,723;57
03/03/2014 11:01:55.904;4,082;-42,743;22,723;57
03/03/2014 11:01:55.935;4,215;-42,743;22,723;57
03/03/2014 11:01:55.967;4,301;-42,743;22,711;57
03/03/2014 11:01:55.998;4,371;-42,743;22,723;57
03/03/2014 11:01:56.029;4,246;-42,743;22,723;57
03/03/2014 11:01:56.060;4,348;-42,743;22,723;57
03/03/2014 11:01:56.092;4,488;-42,743;22,723;57
03/03/2014 11:01:56.123;4,527;-42,743;22,723;57
03/03/2014 11:01:56.154;4,535;-42,743;22,723;57
03/03/2014 11:01:56.185;4,519;-42,743;22,723;57
03/03/2014 11:01:56.217;4,511;-42,743;22,723;57
03/03/2014 11:01:56.248;4,472;-42,743;22,723;57
03/03/2014 11:01:56.279;4,371;-42,755;22,736;57
03/03/2014 11:01:56.310;4,231;-42,755;22,736;57
03/03/2014 11:01:56.342;4,114;-42,755;22,736;57
03/03/2014 11:01:56.373;3,997;-42,755;22,736;57
03/03/2014 11:01:56.404;3,934;-42,755;22,736;56
03/03/2014 11:01:56.435;3,833;-42,755;22,736;56
03/03/2014 11:01:56.467;3,451;-42,755;22,761;56
03/03/2014 11:01:56.498;3,365;-42,755;22,736;56
03/03/2014 11:01:56.529;3,341;-42,755;22,736;56
03/03/2014 11:01:56.560;3,279;-42,755;22,748;56
03/03/2014 11:01:56.592;3,224;-42,755;22,736;56
03/03/2014 11:01:56.623;3,178;-42,755;22,748;56
03/03/2014 11:01:56.654;3,123;-42,755;22,748;56
03/03/2014 11:01:56.685;3,084;-42,755;22,748;56
03/03/2014 11:01:56.717;3,029;-42,768;22,748;56
03/03/2014 11:01:56.748;3,022;-42,768;22,748;56
03/03/2014 11:01:56.779;2,967;-42,768;22,748;56
03/03/2014 11:01:56.810;2,951;-42,768;22,748;56
03/03/2014 11:01:56.842;2,944;-42,768;22,761;56
03/03/2014 11:01:56.873;2,897;-42,768;22,761;56
03/03/2014 11:01:56.904;2,616;-42,768;22,761;56
03/03/2014 11:01:56.935;2,616;-42,768;22,761;56
03/03/2014 11:01:56.967;2,624;-42,768;22,761;56
03/03/2014 11:01:56.998;2,647;-42,768;22,761;56
03/03/2014 11:01:57.029;2,632;-42,768;22,761;56
03/03/2014 11:01:57.060;2,624;-42,768;22,761;56
03/03/2014 11:01:57.092;2,624;-42,768;22,761;56
03/03/2014 11:01:57.123;2,632;-42,768;22,761;56
03/03/2014 11:01:57.154;2,593;-42,78;22,761;56
03/03/2014 11:01:57.185;2,6;-42,78;22,761;56
03/03/2014 11:01:57.217;2,6;-42,78;22,761;56
03/03/2014 11:01:57.248;2,608;-42,78;22,761;56
03/03/2014 11:01:57.279;2,6;-42,78;22,761;56
03/03/2014 11:01:57.310;2,624;-42,78;22,761;56
