date;Respiration;GSR;Temperature;CFM
03/03/2014 11:47:26.734;-1,76;-41,466;22,047;53
03/03/2014 11:47:26.765;-1,448;-41,466;22,047;53
03/03/2014 11:47:26.797;-1,183;-41,466;22,047;53
03/03/2014 11:47:26.828;-1,019;-41,454;22,047;53
03/03/2014 11:47:26.859;-0,855;-41,454;22,047;53
03/03/2014 11:47:26.890;-0,676;-41,454;22,047;53
03/03/2014 11:47:26.922;-0,457;-41,441;22,047;52
03/03/2014 11:47:26.953;-0,278;-41,441;22,047;52
03/03/2014 11:47:26.984;-0,153;-41,441;22,047;52
03/03/2014 11:47:27.015;-0,075;-41,441;22,047;52
03/03/2014 11:47:27.047;0,026;-41,441;22,035;52
03/03/2014 11:47:27.078;0,112;-41,441;22,047;52
03/03/2014 11:47:27.109;0,182;-41,441;22,047;52
03/03/2014 11:47:27.140;0,245;-41,441;22,035;52
03/03/2014 11:47:27.172;0,229;-41,441;22,035;52
03/03/2014 11:47:27.203;0,307;-41,441;22,047;52
03/03/2014 11:47:27.234;0,385;-41,441;22,035;52
03/03/2014 11:47:27.265;0,479;-41,441;22,035;52
03/03/2014 11:47:27.297;0,541;-41,441;22,047;52
03/03/2014 11:47:27.328;0,635;-41,441;22,047;52
03/03/2014 11:47:27.359;0,713;-41,441;22,035;52
03/03/2014 11:47:27.390;0,775;-41,441;22,035;52
03/03/2014 11:47:27.422;0,853;-41,441;22,035;52
03/03/2014 11:47:27.453;0,962;-41,441;22,035;52
03/03/2014 11:47:27.484;1,017;-41,441;22,035;52
03/03/2014 11:47:27.515;1,056;-41,441;22,035;52
03/03/2014 11:47:27.547;1,126;-41,441;22,035;52
03/03/2014 11:47:27.578;1,165;-41,441;22,035;52
03/03/2014 11:47:27.609;1,189;-41,441;22,035;52
03/03/2014 11:47:27.640;1,22;-41,441;22,035;52
03/03/2014 11:47:27.672;1,259;-41,441;22,035;52
03/03/2014 11:47:27.703;1,298;-41,441;22,035;52
03/03/2014 11:47:27.734;1,321;-41,441;22,035;52
03/03/2014 11:47:27.765;1,329;-41,441;22,035;52
