date;Respiration;GSR;Temperature;CFM
13/03/2014 15:35:39.939;-8,6;-48,936;26,777;79
13/03/2014 15:35:39.970;-8,327;-48,936;26,777;79
13/03/2014 15:35:40.002;-8,07;-48,936;26,777;79
13/03/2014 15:35:40.033;-7,844;-48,936;26,777;79
13/03/2014 15:35:40.064;-7,657;-48,936;26,777;79
13/03/2014 15:35:40.095;-7,501;-48,936;26,777;79
13/03/2014 15:35:40.127;-7,36;-48,936;26,777;79
13/03/2014 15:35:40.158;-7,212;-48,936;26,777;79
13/03/2014 15:35:40.189;-7,111;-48,936;26,777;79
13/03/2014 15:35:40.220;-6,955;-48,936;26,777;79
13/03/2014 15:35:40.252;-6,822;-48,936;26,777;79
13/03/2014 15:35:40.283;-6,705;-48,936;26,777;79
13/03/2014 15:35:40.314;-6,565;-48,936;26,777;79
13/03/2014 15:35:40.345;-6,448;-48,936;26,765;79
13/03/2014 15:35:40.377;-6,346;-48,936;26,777;79
13/03/2014 15:35:40.408;-6,175;-48,936;26,777;79
13/03/2014 15:35:40.439;-6,042;-48,936;26,765;79
13/03/2014 15:35:40.470;-5,886;-48,936;26,765;79
13/03/2014 15:35:40.502;-5,753;-48,936;26,765;79
13/03/2014 15:35:40.533;-5,605;-48,936;26,765;79
13/03/2014 15:35:40.564;-5,465;-48,936;26,765;79
13/03/2014 15:35:40.595;-5,278;-48,936;26,765;79
13/03/2014 15:35:40.627;-5,075;-48,936;26,765;79
13/03/2014 15:35:40.658;-4,888;-48,936;26,765;79
13/03/2014 15:35:40.689;-4,81;-48,936;26,765;79
13/03/2014 15:35:40.720;-4,763;-48,936;26,765;79
13/03/2014 15:35:40.752;-4,654;-48,936;26,765;79
13/03/2014 15:35:40.783;-4,474;-48,936;26,765;79
13/03/2014 15:35:40.814;-4,334;-48,936;26,765;79
13/03/2014 15:35:40.845;-4,154;-48,936;26,765;79
13/03/2014 15:35:40.877;-3,967;-48,936;26,765;79
13/03/2014 15:35:40.908;-3,819;-48,936;26,765;79
13/03/2014 15:35:40.939;-3,702;-48,936;26,765;79
13/03/2014 15:35:40.970;-3,616;-48,936;26,765;79
13/03/2014 15:35:41.002;-3,499;-48,936;26,765;79
13/03/2014 15:35:41.033;-3,39;-48,936;26,765;79
13/03/2014 15:35:41.064;-3,296;-48,936;26,765;79
13/03/2014 15:35:41.095;-3,195;-48,936;26,765;79
13/03/2014 15:35:41.127;-3,094;-48,936;26,765;79
13/03/2014 15:35:41.158;-2,969;-48,936;26,765;79
13/03/2014 15:35:41.189;-2,883;-48,936;26,765;79
13/03/2014 15:35:41.220;-2,828;-48,936;26,765;79
13/03/2014 15:35:41.252;-2,789;-48,936;26,765;79
13/03/2014 15:35:41.283;-2,75;-48,936;26,765;79
13/03/2014 15:35:41.314;-2,774;-48,936;26,765;79
13/03/2014 15:35:41.345;-2,821;-48,936;26,765;79
13/03/2014 15:35:41.377;-2,86;-48,936;26,765;79
13/03/2014 15:35:41.408;-2,977;-48,936;26,765;79
13/03/2014 15:35:41.439;-3,094;-48,936;26,765;79
13/03/2014 15:35:41.470;-3,328;-48,936;26,765;79
13/03/2014 15:35:41.502;-3,569;-48,936;26,765;79
