t;Respiration;GSR;Temperature;CFM
0.000;-10.644;-44.157;29.417;74.000
0.031;-10.379;-44.157;29.417;74.000
0.063;-10.168;-44.157;29.417;74.000
0.094;-9.981;-44.157;29.417;74.000
0.125;-9.833;-44.169;29.417;74.000
0.156;-9.692;-44.169;29.417;74.000
0.188;-9.575;-44.169;29.417;74.000
0.219;-9.482;-44.169;29.417;74.000
0.250;-9.427;-44.169;29.417;74.000
0.281;-9.435;-44.169;29.417;74.000
0.313;-9.396;-44.169;29.430;74.000
0.344;-9.365;-44.169;29.417;74.000
0.375;-9.365;-44.169;29.417;74.000
0.406;-9.373;-44.169;29.417;74.000
0.438;-9.435;-44.169;29.417;74.000
0.469;-9.412;-44.169;29.417;74.000
0.500;-9.443;-44.169;29.417;74.000
0.531;-9.435;-44.169;29.417;74.000
0.563;-9.443;-44.169;29.430;74.000
0.594;-9.466;-44.169;29.417;74.000
0.625;-9.497;-44.169;29.417;74.000
0.656;-9.497;-44.169;29.417;74.000
0.688;-9.521;-44.169;29.417;74.000
0.719;-9.575;-44.169;29.417;74.000
0.750;-9.607;-44.169;29.417;74.000
0.781;-9.607;-44.182;29.417;74.000
0.813;-9.646;-44.182;29.417;74.000
0.844;-9.661;-44.182;29.417;74.000
0.875;-9.755;-44.182;29.430;74.000
0.906;-9.755;-44.182;29.417;74.000
0.938;-9.739;-44.182;29.417;74.000
0.969;-9.763;-44.182;29.417;74.000
1.000;-9.763;-44.182;29.417;74.000
1.031;-9.747;-44.182;29.417;74.000
1.063;-9.778;-44.182;29.417;74.000
1.094;-9.825;-44.182;29.417;74.000
1.125;-9.841;-44.182;29.417;74.000
1.156;-9.864;-44.182;29.417;74.000
1.188;-9.848;-44.182;29.417;74.000
1.219;-9.864;-44.182;29.417;74.000
1.250;-9.887;-44.182;29.417;74.000
1.281;-9.903;-44.182;29.417;74.000
1.313;-9.911;-44.182;29.417;74.000
1.344;-9.926;-44.182;29.417;74.000
1.375;-9.919;-44.182;29.417;74.000
1.406;-9.895;-44.182;29.417;74.000
1.438;-9.903;-44.182;29.417;74.000
1.469;-9.872;-44.182;29.417;74.000
1.500;-9.903;-44.182;29.417;74.000
1.531;-9.887;-44.182;29.417;74.000
1.563;-9.887;-44.182;29.417;74.000
1.594;-9.880;-44.182;29.417;74.000
1.625;-9.887;-44.182;29.417;74.000
1.656;-9.895;-44.182;29.417;74.000
1.688;-9.880;-44.182;29.417;74.000
1.719;-9.880;-44.182;29.417;74.000
1.750;-9.950;-44.182;29.430;74.000
1.781;-9.934;-44.182;29.417;74.000
1.813;-9.911;-44.182;29.417;74.000
1.844;-9.887;-44.182;29.417;74.000
1.875;-9.895;-44.182;29.417;74.000
1.906;-9.872;-44.182;29.417;74.000
1.938;-9.895;-44.182;29.417;74.000
1.969;-9.833;-44.182;29.417;74.000
2.000;-9.802;-44.182;29.417;74.000
2.031;-9.747;-44.182;29.417;74.000
2.063;-9.739;-44.182;29.417;74.000
2.094;-9.731;-44.182;29.417;74.000
2.125;-9.708;-44.182;29.417;74.000
2.156;-9.669;-44.182;29.417;74.000
2.188;-9.630;-44.182;29.430;74.000
2.219;-9.591;-44.182;29.417;74.000
2.250;-9.544;-44.182;29.417;74.000
2.281;-9.505;-44.182;29.417;74.000
2.313;-9.443;-44.182;29.417;74.000
2.344;-9.388;-44.182;29.417;74.000
2.375;-9.349;-44.182;29.430;74.000
2.406;-9.287;-44.182;29.417;74.000
2.438;-9.256;-44.182;29.417;74.000
2.469;-9.201;-44.182;29.417;74.000
2.500;-9.178;-44.182;29.417;74.000
2.531;-9.131;-44.182;29.417;74.000
2.563;-9.115;-44.182;29.417;74.000
2.594;-9.053;-44.182;29.417;74.000
2.625;-9.045;-44.182;29.417;74.000
2.656;-8.983;-44.182;29.417;74.000
2.688;-8.975;-44.182;29.417;74.000
2.719;-8.959;-44.182;29.417;74.000
2.750;-8.936;-44.182;29.417;74.000
2.781;-8.959;-44.182;29.417;74.000
2.813;-8.912;-44.182;29.417;74.000
2.844;-8.928;-44.182;29.417;74.000
2.875;-8.920;-44.182;29.417;74.000
