t;Respiration;GSR;Temperature;CFM
0.000;-17.633;-33.033;27.203;83.000
0.031;-17.438;-32.995;27.203;83.000
0.063;-17.212;-32.958;27.215;83.000
0.094;-17.063;-32.908;27.203;83.000
0.125;-16.892;-32.870;27.203;83.000
0.156;-16.775;-32.833;27.203;83.000
0.188;-16.642;-32.783;27.203;83.000
0.219;-16.556;-32.733;27.203;83.000
0.250;-16.471;-32.720;27.203;82.000
0.281;-16.408;-32.708;27.203;82.000
0.313;-16.354;-32.695;27.203;82.000
0.344;-16.283;-32.695;27.203;82.000
0.375;-16.221;-32.683;27.203;82.000
0.406;-16.166;-32.670;27.203;82.000
0.438;-16.143;-32.658;27.203;82.000
0.469;-16.057;-32.645;27.203;82.000
0.500;-16.057;-32.633;27.203;82.000
0.531;-16.042;-32.620;27.203;82.000
0.563;-15.971;-32.608;27.203;82.000
0.594;-15.932;-32.595;27.203;82.000
0.625;-15.893;-32.582;27.203;82.000
0.656;-15.893;-32.570;27.203;82.000
0.688;-15.870;-32.557;27.203;82.000
0.719;-15.854;-32.545;27.203;82.000
0.750;-15.823;-32.545;27.203;82.000
0.781;-15.761;-32.532;27.203;82.000
0.813;-15.753;-32.520;27.203;82.000
0.844;-15.753;-32.507;27.203;82.000
0.875;-15.956;-32.470;27.253;82.000
0.906;-15.909;-32.457;27.203;82.000
0.938;-15.831;-32.445;27.203;82.000
0.969;-15.792;-32.432;27.203;82.000
1.000;-15.776;-32.432;27.203;82.000
1.031;-15.698;-32.420;27.203;82.000
1.063;-15.691;-32.420;27.203;82.000
1.094;-15.652;-32.407;27.203;82.000
1.125;-15.620;-32.432;27.203;82.000
1.156;-15.550;-32.432;27.203;82.000
1.188;-15.542;-32.420;27.203;82.000
1.219;-15.511;-32.420;27.203;82.000
1.250;-15.480;-32.407;27.203;82.000
1.281;-15.464;-32.395;27.203;82.000
1.313;-15.737;-32.357;27.278;82.000
1.344;-15.667;-32.345;27.203;82.000
1.375;-15.636;-32.345;27.203;82.000
1.406;-15.605;-32.332;27.203;82.000
1.438;-15.581;-32.332;27.203;82.000
1.469;-15.613;-32.332;27.203;82.000
1.500;-15.589;-32.320;27.203;82.000
1.531;-15.581;-32.320;27.203;82.000
1.563;-15.589;-32.345;27.203;82.000
1.594;-15.597;-32.345;27.203;82.000
1.625;-15.605;-32.345;27.203;83.000
1.656;-15.597;-32.345;27.203;83.000
1.688;-15.636;-32.345;27.203;83.000
1.719;-15.644;-32.345;27.203;83.000
1.750;-15.683;-32.345;27.203;83.000
1.781;-15.675;-32.332;27.203;83.000
1.813;-15.698;-32.332;27.203;83.000
1.844;-15.683;-32.332;27.203;83.000
1.875;-15.691;-32.332;27.203;83.000
1.906;-15.706;-32.332;27.203;83.000
1.938;-15.691;-32.332;27.203;83.000
1.969;-15.706;-32.332;27.203;83.000
2.000;-15.737;-32.332;27.203;83.000
2.031;-15.698;-32.332;27.203;83.000
2.063;-15.737;-32.332;27.203;83.000
2.094;-15.722;-32.332;27.203;83.000
2.125;-15.737;-32.332;27.203;83.000
2.156;-15.753;-32.332;27.203;83.000
2.188;-16.018;-32.295;27.203;83.000
2.219;-16.003;-32.295;27.215;83.000
2.250;-15.964;-32.295;27.203;83.000
2.281;-15.971;-32.307;27.203;83.000
2.313;-15.956;-32.295;27.203;84.000
2.344;-15.932;-32.307;27.203;84.000
2.375;-15.932;-32.295;27.203;84.000
2.406;-15.909;-32.295;27.203;84.000
2.438;-15.909;-32.332;27.203;84.000
2.469;-15.917;-32.332;27.203;84.000
2.500;-15.893;-32.332;27.203;84.000
2.531;-15.917;-32.332;27.203;84.000
2.563;-15.862;-32.332;27.203;84.000
2.594;-15.878;-32.332;27.203;84.000
2.625;-15.948;-32.345;27.203;84.000
2.656;-15.932;-32.345;27.203;84.000
2.688;-15.925;-32.345;27.203;84.000
2.719;-15.909;-32.345;27.203;84.000
2.750;-15.909;-32.357;27.203;84.000
2.781;-15.925;-32.357;27.203;84.000
2.813;-15.878;-32.357;27.203;84.000
2.844;-15.886;-32.370;27.203;84.000
2.875;-15.870;-32.370;27.203;84.000
2.906;-15.893;-32.370;27.203;84.000
2.938;-15.854;-32.382;27.203;84.000
2.969;-15.909;-32.382;27.203;84.000
3.000;-15.893;-32.382;27.203;84.000
3.031;-15.878;-32.382;27.203;84.000
3.063;-16.112;-32.357;27.265;84.000
3.094;-16.081;-32.357;27.203;84.000
3.125;-16.065;-32.370;27.203;84.000
3.156;-16.049;-32.370;27.203;84.000
3.188;-16.034;-32.370;27.203;84.000
3.219;-16.010;-32.382;27.203;84.000
3.250;-15.964;-32.382;27.203;84.000
3.281;-15.995;-32.382;27.203;84.000
3.313;-15.971;-32.420;27.203;84.000
3.344;-15.987;-32.420;27.203;84.000
3.375;-15.956;-32.432;27.203;84.000
3.406;-15.932;-32.432;27.203;84.000
3.438;-15.940;-32.445;27.203;84.000
3.469;-15.901;-32.445;27.203;84.000
3.500;-15.948;-32.445;27.203;84.000
3.531;-15.901;-32.445;27.203;84.000
3.563;-15.925;-32.457;27.203;84.000
3.594;-15.893;-32.457;27.203;84.000
3.625;-15.901;-32.457;27.203;84.000
3.656;-15.886;-32.457;27.203;84.000
3.688;-15.862;-32.457;27.203;84.000
3.719;-15.847;-32.457;27.203;84.000
3.750;-15.854;-32.470;27.203;84.000
3.781;-15.831;-32.470;27.203;84.000
3.813;-15.831;-32.470;27.203;84.000
3.844;-15.815;-32.482;27.203;84.000
3.875;-15.792;-32.482;27.203;84.000
3.906;-15.769;-32.482;27.203;84.000
3.938;-15.776;-32.482;27.203;84.000
3.969;-15.769;-32.482;27.203;84.000
4.000;-15.745;-32.495;27.203;84.000
4.031;-15.722;-32.495;27.203;84.000
4.063;-15.691;-32.495;27.203;84.000
4.094;-15.667;-32.495;27.203;84.000
4.125;-15.644;-32.507;27.203;84.000
4.156;-15.620;-32.507;27.203;84.000
4.188;-15.613;-32.507;27.203;84.000
4.219;-15.574;-32.507;27.203;84.000
4.250;-15.527;-32.520;27.203;84.000
4.281;-15.527;-32.520;27.203;84.000
4.313;-15.480;-32.520;27.203;84.000
4.344;-15.472;-32.520;27.203;84.000
4.375;-15.542;-32.532;27.203;84.000
4.406;-15.519;-32.532;27.203;84.000
4.438;-15.511;-32.532;27.203;84.000
4.469;-15.457;-32.545;27.203;84.000
4.500;-15.480;-32.545;27.203;84.000
4.531;-15.449;-32.557;27.203;84.000
4.563;-15.464;-32.557;27.203;84.000
4.594;-15.496;-32.570;27.203;84.000
4.625;-15.472;-32.582;27.203;84.000
4.656;-15.488;-32.582;27.203;84.000
4.688;-15.503;-32.595;27.203;84.000
4.719;-15.511;-32.595;27.203;84.000
4.750;-15.511;-32.608;27.203;84.000
4.781;-15.542;-32.608;27.203;84.000
4.813;-15.550;-32.620;27.203;84.000
4.844;-15.566;-32.620;27.203;84.000
4.875;-15.574;-32.633;27.203;84.000
4.906;-15.589;-32.633;27.203;84.000
4.938;-15.581;-32.645;27.203;84.000
4.969;-15.597;-32.645;27.203;84.000
5.000;-15.620;-32.658;27.203;84.000
5.031;-15.636;-32.658;27.203;84.000
5.063;-15.644;-32.670;27.203;84.000
5.094;-15.675;-32.683;27.203;84.000
5.125;-15.675;-32.683;27.203;84.000
5.156;-15.698;-32.695;27.203;84.000
5.188;-15.691;-32.708;27.203;83.000
5.219;-15.722;-32.708;27.203;83.000
5.250;-15.761;-32.720;27.203;83.000
5.281;-15.776;-32.733;27.203;83.000
5.313;-15.800;-32.745;27.203;83.000
5.344;-15.776;-32.758;27.203;83.000
5.375;-15.808;-32.758;27.203;83.000
5.406;-15.784;-32.770;27.203;83.000
5.438;-15.792;-32.783;27.203;83.000
5.469;-15.823;-32.795;27.203;83.000
5.500;-15.792;-32.795;27.203;83.000
5.531;-15.808;-32.808;27.203;83.000
5.563;-15.769;-32.820;27.203;83.000
5.594;-15.831;-32.820;27.203;83.000
5.625;-15.800;-32.833;27.203;83.000
5.656;-15.823;-32.845;27.203;83.000
5.688;-15.862;-32.858;27.203;83.000
5.719;-15.862;-32.858;27.203;83.000
5.750;-15.870;-32.870;27.203;83.000
5.781;-15.862;-32.883;27.203;83.000
5.813;-15.847;-32.883;27.203;83.000
5.844;-15.847;-32.895;27.203;83.000
5.875;-15.854;-32.908;27.203;83.000
5.906;-15.870;-32.920;27.203;83.000
5.938;-15.870;-32.933;27.203;83.000
5.969;-15.862;-32.945;27.203;83.000
6.000;-15.854;-32.945;27.203;83.000
6.031;-15.870;-32.958;27.203;83.000
6.063;-15.878;-32.970;27.203;83.000
6.094;-15.870;-32.983;27.203;83.000
6.125;-15.956;-32.995;27.203;83.000
6.156;-15.940;-32.995;27.203;83.000
6.188;-15.932;-33.008;27.203;83.000
6.219;-15.925;-33.020;27.203;83.000
6.250;-15.886;-33.033;27.203;83.000
6.281;-15.878;-33.033;27.203;83.000
6.313;-15.878;-33.045;27.203;83.000
6.344;-15.862;-33.058;27.203;83.000
6.375;-15.901;-33.070;27.203;83.000
6.406;-15.878;-33.070;27.203;83.000
6.438;-15.862;-33.083;27.203;83.000
6.469;-15.878;-33.095;27.203;83.000
6.500;-15.878;-33.095;27.203;83.000
6.531;-15.870;-33.108;27.203;83.000
6.563;-15.901;-33.121;27.203;83.000
6.594;-15.909;-33.121;27.203;83.000
6.625;-15.901;-33.133;27.203;83.000
6.656;-15.886;-33.146;27.203;83.000
6.688;-15.878;-33.146;27.203;83.000
6.719;-15.901;-33.158;27.203;83.000
6.750;-15.909;-33.171;27.203;83.000
6.781;-15.878;-33.171;27.203;83.000
6.813;-15.878;-33.183;27.203;83.000
6.844;-15.870;-33.183;27.203;83.000
6.875;-15.847;-33.196;27.203;83.000
6.906;-15.839;-33.196;27.203;83.000
6.938;-15.847;-33.196;27.203;83.000
6.969;-15.862;-33.208;27.203;83.000
7.000;-15.839;-33.208;27.203;83.000
7.031;-15.847;-33.208;27.203;83.000
7.063;-15.862;-33.221;27.203;83.000
7.094;-15.839;-33.221;27.203;83.000
7.125;-15.800;-33.221;27.203;83.000
7.156;-15.831;-33.233;27.203;83.000
7.188;-15.784;-33.233;27.203;83.000
7.219;-15.800;-33.233;27.203;83.000
7.250;-15.776;-33.233;27.203;83.000
7.281;-15.753;-33.246;27.203;83.000
7.313;-15.761;-33.246;27.203;83.000
7.344;-15.776;-33.246;27.203;83.000
7.375;-15.737;-33.258;27.203;82.000
7.406;-15.761;-33.258;27.203;82.000
7.438;-15.761;-33.258;27.203;82.000
7.469;-15.737;-33.271;27.203;82.000
7.500;-15.730;-33.271;27.203;82.000
7.531;-15.698;-33.271;27.203;82.000
7.563;-15.691;-33.283;27.203;82.000
7.594;-15.659;-33.283;27.203;82.000
7.625;-15.636;-33.296;27.203;82.000
7.656;-15.652;-33.296;27.203;82.000
7.688;-15.652;-33.296;27.190;82.000
7.719;-15.636;-33.308;27.203;82.000
7.750;-15.636;-33.308;27.203;82.000
7.781;-15.636;-33.321;27.203;82.000
7.813;-15.683;-33.321;27.203;82.000
7.844;-15.659;-33.321;27.203;82.000
7.875;-15.691;-33.333;27.203;82.000
7.906;-15.659;-33.333;27.203;82.000
7.938;-15.667;-33.346;27.203;82.000
7.969;-15.706;-33.346;27.203;82.000
8.000;-15.722;-33.346;27.203;82.000
8.031;-15.730;-33.346;27.203;82.000
8.063;-15.730;-33.358;27.203;82.000
8.094;-15.769;-33.358;27.203;82.000
8.125;-15.745;-33.358;27.203;82.000
8.156;-15.776;-33.358;27.203;82.000
8.188;-15.761;-33.371;27.190;82.000
8.219;-15.769;-33.371;27.203;82.000
8.250;-15.769;-33.383;27.203;82.000
8.281;-15.792;-33.383;27.203;82.000
8.313;-15.823;-33.383;27.203;82.000
8.344;-15.831;-33.396;27.203;82.000
8.375;-15.823;-33.396;27.203;82.000
8.406;-15.808;-33.396;27.203;82.000
8.438;-15.831;-33.396;27.203;82.000
8.469;-15.815;-33.408;27.203;82.000
8.500;-15.823;-33.408;27.203;82.000
8.531;-15.808;-33.408;27.203;82.000
8.563;-15.831;-33.421;27.203;82.000
8.594;-15.831;-33.421;27.203;82.000
8.625;-15.870;-33.421;27.203;82.000
8.656;-15.839;-33.433;27.203;82.000
8.688;-15.831;-33.433;27.203;82.000
8.719;-15.854;-33.433;27.203;82.000
8.750;-15.925;-33.433;27.203;82.000
8.781;-15.901;-33.446;27.203;82.000
8.813;-15.901;-33.446;27.203;82.000
8.844;-15.878;-33.446;27.203;82.000
8.875;-15.909;-33.446;27.190;82.000
8.906;-15.893;-33.458;27.203;82.000
8.938;-15.886;-33.458;27.203;82.000
8.969;-15.893;-33.471;27.203;82.000
9.000;-15.893;-33.471;27.203;82.000
9.031;-15.893;-33.471;27.203;82.000
9.063;-15.909;-33.483;27.203;82.000
9.094;-15.893;-33.483;27.203;82.000
9.125;-15.893;-33.483;27.190;82.000
9.156;-15.893;-33.496;27.203;82.000
9.188;-15.901;-33.496;27.203;82.000
9.219;-15.909;-33.496;27.203;82.000
9.250;-15.893;-33.508;27.203;82.000
9.281;-15.901;-33.508;27.203;82.000
9.313;-15.893;-33.508;27.203;82.000
9.344;-15.878;-33.521;27.203;82.000
9.375;-15.886;-33.521;27.203;82.000
9.406;-15.886;-33.533;27.203;82.000
9.438;-15.886;-33.533;27.203;82.000
9.469;-15.886;-33.533;27.203;82.000
9.500;-15.886;-33.546;27.203;82.000
9.531;-15.893;-33.546;27.203;82.000
9.563;-15.878;-33.558;27.203;81.000
9.594;-15.886;-33.558;27.203;81.000
9.625;-15.909;-33.558;27.203;81.000
9.656;-15.901;-33.571;27.203;81.000
9.688;-15.901;-33.571;27.203;81.000
9.719;-15.893;-33.571;27.203;81.000
9.750;-15.909;-33.583;27.203;81.000
9.781;-15.893;-33.583;27.203;81.000
9.813;-15.886;-33.583;27.203;81.000
9.844;-15.878;-33.596;27.203;81.000
9.875;-15.893;-33.596;27.203;81.000
9.906;-15.893;-33.609;27.203;81.000
9.938;-15.854;-33.609;27.203;81.000
9.969;-15.831;-33.621;27.203;81.000
10.000;-15.815;-33.621;27.203;81.000
10.031;-15.862;-33.634;27.203;81.000
10.063;-15.831;-33.634;27.203;81.000
10.094;-15.823;-33.646;27.203;81.000
10.125;-15.792;-33.646;27.203;81.000
10.156;-15.792;-33.646;27.203;81.000
10.188;-15.761;-33.659;27.203;81.000
10.219;-15.792;-33.659;27.203;81.000
10.250;-15.737;-33.659;27.203;81.000
10.281;-15.745;-33.671;27.203;81.000
10.313;-15.737;-33.671;27.190;81.000
10.344;-15.691;-33.684;27.190;81.000
10.375;-15.706;-33.696;27.203;81.000
10.406;-15.706;-33.696;27.203;81.000
10.438;-15.667;-33.709;27.203;81.000
10.469;-15.675;-33.709;27.190;81.000
10.500;-15.698;-33.721;27.203;81.000
10.531;-15.659;-33.721;27.203;81.000
10.563;-15.628;-33.734;27.203;81.000
10.594;-15.636;-33.734;27.203;81.000
10.625;-15.605;-33.734;27.203;81.000
10.656;-15.605;-33.734;27.203;81.000
10.688;-15.597;-33.746;27.203;81.000
10.719;-15.628;-33.746;27.203;81.000
10.750;-15.605;-33.759;27.203;81.000
10.781;-15.620;-33.759;27.203;81.000
10.813;-15.613;-33.759;27.203;81.000
10.844;-15.628;-33.771;27.203;81.000
10.875;-15.620;-33.784;27.203;81.000
10.906;-15.667;-33.784;27.203;81.000
10.938;-15.683;-33.796;27.203;81.000
10.969;-15.675;-33.796;27.203;81.000
11.000;-15.714;-33.809;27.190;81.000
11.031;-15.722;-33.821;27.203;81.000
11.063;-15.722;-33.821;27.203;81.000
11.094;-15.776;-33.821;27.203;81.000
11.125;-15.761;-33.834;27.203;81.000
11.156;-15.776;-33.834;27.203;81.000
11.188;-15.784;-33.846;27.203;81.000
11.219;-15.792;-33.846;27.203;81.000
11.250;-15.808;-33.859;27.203;81.000
11.281;-15.800;-33.859;27.203;81.000
11.313;-15.815;-33.871;27.203;81.000
11.344;-15.800;-33.871;27.203;81.000
11.375;-15.847;-33.884;27.203;81.000
11.406;-15.839;-33.884;27.203;81.000
11.438;-15.862;-33.896;27.203;81.000
11.469;-15.854;-33.896;27.203;81.000
11.500;-15.854;-33.909;27.203;81.000
11.531;-15.870;-33.909;27.203;81.000
11.563;-15.854;-33.921;27.190;81.000
11.594;-15.831;-33.921;27.203;81.000
11.625;-15.847;-33.934;27.190;81.000
11.656;-15.862;-33.934;27.203;81.000
11.688;-15.847;-33.934;27.203;81.000
11.719;-15.901;-33.946;27.190;81.000
11.750;-15.878;-33.946;27.203;81.000
11.781;-15.909;-33.959;27.203;81.000
11.813;-15.940;-33.971;27.203;81.000
11.844;-15.909;-33.971;27.190;81.000
11.875;-15.909;-33.984;27.203;81.000
11.906;-15.917;-33.984;27.203;81.000
11.938;-15.925;-33.996;27.190;81.000
11.969;-15.932;-33.996;27.203;81.000
12.000;-15.925;-34.009;27.203;81.000
12.031;-15.956;-34.009;27.190;81.000
12.063;-15.940;-34.021;27.190;81.000
12.094;-15.917;-34.021;27.203;81.000
12.125;-15.909;-34.034;27.190;81.000
12.156;-15.917;-34.034;27.203;81.000
12.188;-15.917;-34.034;27.203;81.000
12.219;-15.948;-34.046;27.190;81.000
12.250;-15.964;-34.046;27.203;81.000
12.281;-15.956;-34.059;27.203;81.000
12.313;-15.948;-34.059;27.190;81.000
12.344;-15.940;-34.059;27.203;81.000
12.375;-15.940;-34.071;27.203;81.000
12.406;-15.940;-34.071;27.203;81.000
12.438;-15.932;-34.084;27.190;81.000
12.469;-15.932;-34.084;27.190;81.000
12.500;-15.956;-34.084;27.190;81.000
12.531;-15.925;-34.096;27.203;81.000
12.563;-15.956;-34.096;27.190;81.000
12.594;-15.917;-34.096;27.203;81.000
12.625;-15.909;-34.109;27.203;81.000
12.656;-15.886;-34.109;27.203;81.000
12.688;-15.886;-34.122;27.190;81.000
12.719;-15.893;-34.122;27.203;81.000
12.750;-15.862;-34.122;27.190;81.000
