t;Respiration;GSR;Temperature;CFM
0.000;-6.884;-42.405;32.721;82
0.031;-6.689;-42.33;32.721;82
0.063;-6.58;-42.255;32.721;82
0.094;-6.518;-42.167;32.721;82
0.125;-6.455;-42.092;32.708;82
0.156;-6.463;-42.017;32.721;82
0.188;-6.502;-41.942;32.721;82
0.219;-6.487;-41.867;32.708;82
0.250;-6.463;-41.867;32.721;82
0.281;-6.479;-41.867;32.721;82
0.313;-6.51;-41.879;32.721;82
0.344;-6.502;-41.879;32.721;82
0.375;-6.479;-41.879;32.721;82
0.406;-6.479;-41.879;32.721;82
0.438;-6.728;-41.879;32.821;82
0.469;-6.705;-41.879;32.721;82
0.500;-6.65;-41.879;32.721;82
0.531;-6.666;-41.892;32.721;82
0.563;-6.658;-41.892;32.721;82
0.594;-6.658;-41.892;32.721;82
0.625;-6.635;-41.892;32.721;82
0.656;-6.666;-41.892;32.721;82
0.688;-6.658;-41.904;32.721;82
0.719;-6.635;-41.904;32.721;82
0.750;-6.627;-41.904;32.721;82
0.781;-6.611;-41.904;32.721;82
0.813;-6.658;-41.917;32.721;82
0.844;-6.728;-41.917;32.721;82
0.875;-7.134;-41.904;32.733;82
0.906;-7.15;-41.904;32.721;82
0.938;-7.212;-41.904;32.721;82
0.969;-7.22;-41.917;32.721;82
1.000;-7.259;-41.904;32.733;82
1.031;-7.29;-41.904;32.721;82
1.063;-7.274;-41.904;32.733;82
1.094;-7.251;-41.904;32.721;82
1.125;-7.259;-41.904;32.733;82
1.156;-7.259;-41.904;32.733;82
1.188;-7.212;-41.892;32.733;82
1.219;-7.22;-41.892;32.733;82
1.250;-7.181;-41.892;32.733;82
1.281;-7.181;-41.879;32.733;82
1.313;-7.423;-41.879;32.733;82
1.344;-7.352;-41.867;32.733;82
1.375;-7.352;-41.867;32.733;82
1.406;-7.298;-41.854;32.733;82
1.438;-7.267;-41.854;32.733;82
1.469;-7.228;-41.854;32.733;82
1.500;-7.173;-41.842;32.733;82
1.531;-7.228;-41.842;32.733;82
1.563;-7.345;-41.842;32.733;82
1.594;-7.43;-41.829;32.733;82
1.625;-7.438;-41.829;32.733;82
1.656;-7.454;-41.829;32.733;82
1.688;-7.469;-41.829;32.733;83
1.719;-7.508;-41.817;32.746;83
1.750;-7.719;-41.817;32.746;83
1.781;-7.657;-41.804;32.733;83
1.813;-7.61;-41.804;32.733;83
1.844;-7.532;-41.804;32.733;83
1.875;-7.469;-41.804;32.733;83
1.906;-7.368;-41.792;32.733;83
1.938;-7.298;-41.792;32.733;83
1.969;-7.173;-41.779;32.733;83
2.000;-7.072;-41.792;32.733;83
2.031;-7.001;-41.779;32.746;83
2.063;-6.877;-41.779;32.733;83
2.094;-6.814;-41.767;32.746;83
2.125;-6.689;-41.767;32.746;83
2.156;-6.58;-41.754;32.746;83
2.188;-6.713;-41.742;32.733;83
2.219;-6.557;-41.742;32.746;83
2.250;-6.432;-41.742;32.746;83
2.281;-6.393;-41.729;32.746;83
2.313;-6.331;-41.729;32.746;83
2.344;-6.206;-41.729;32.746;83
2.375;-6.058;-41.729;32.746;83
2.406;-5.948;-41.729;32.746;83
2.438;-5.847;-41.729;32.746;83
2.469;-5.707;-41.729;32.746;83
2.500;-5.543;-41.729;32.746;83
2.531;-5.441;-41.729;32.746;83
2.563;-5.285;-41.729;32.746;83
2.594;-5.129;-41.729;32.746;83
2.625;-5.262;-41.729;32.746;83
2.656;-5.083;-41.729;32.746;83
2.688;-4.895;-41.729;32.746;83
2.719;-4.739;-41.729;32.746;83
2.750;-4.607;-41.742;32.746;83
2.781;-4.466;-41.742;32.746;83
2.813;-4.388;-41.742;32.746;83
2.844;-4.271;-41.742;32.746;83
2.875;-4.17;-41.754;32.746;83
2.906;-4.115;-41.754;32.746;83
2.938;-4.061;-41.767;32.746;83
2.969;-4.1;-41.767;32.746;83
3.000;-4.139;-41.767;32.758;83
3.031;-4.271;-41.767;32.746;83
3.063;-4.591;-41.767;32.746;83
3.094;-4.638;-41.767;32.746;83
3.125;-4.7;-41.767;32.758;83
3.156;-4.81;-41.779;32.758;83
3.188;-4.895;-41.779;32.758;83
3.219;-4.95;-41.779;32.758;83
3.250;-5.044;-41.779;32.758;83
3.281;-5.09;-41.779;32.758;83
3.313;-5.192;-41.792;32.758;83
3.344;-5.239;-41.792;32.758;83
3.375;-5.324;-41.792;32.758;83
3.406;-5.402;-41.792;32.758;83
3.438;-5.465;-41.792;32.758;83
3.469;-5.535;-41.792;32.758;83
3.500;-5.855;-41.779;32.758;83
3.531;-5.87;-41.779;32.758;83
3.563;-5.933;-41.779;32.758;83
3.594;-5.956;-41.779;32.758;83
