t;Respiration;GSR;Temperature;CFM
0.000;-15.269;-43.056;26.665;54
0.031;-15.02;-43.056;26.665;54
0.063;-14.801;-43.056;26.665;54
0.094;-14.606;-43.056;26.665;54
0.125;-14.482;-43.056;26.665;54
0.156;-14.333;-43.056;26.665;54
0.188;-14.216;-43.068;26.665;54
0.219;-14.099;-43.068;26.665;54
0.250;-14.029;-43.068;26.665;54
0.281;-14.029;-43.068;26.665;54
0.313;-14.053;-43.068;26.665;54
0.344;-14.06;-43.068;26.665;54
0.375;-14.06;-43.068;26.665;54
0.406;-14.021;-43.068;26.665;54
0.438;-14.271;-43.056;26.677;54
0.469;-14.24;-43.056;26.665;54
0.500;-14.209;-43.056;26.665;54
0.531;-14.131;-43.056;26.665;54
0.563;-14.076;-43.056;26.665;54
0.594;-14.014;-43.056;26.665;54
0.625;-13.982;-43.056;26.665;54
0.656;-14.014;-43.056;26.665;54
0.688;-13.951;-43.068;26.665;54
0.719;-13.928;-43.068;26.665;54
0.750;-13.92;-43.068;26.665;54
0.781;-13.936;-43.068;26.665;54
0.813;-13.912;-43.068;26.665;54
0.844;-13.904;-43.068;26.665;54
0.875;-14.185;-43.056;26.69;54
0.906;-14.146;-43.068;26.665;54
0.938;-14.107;-43.068;26.665;54
0.969;-14.084;-43.068;26.665;54
1.000;-14.06;-43.068;26.665;54
1.031;-14.029;-43.068;26.665;54
1.063;-14.014;-43.068;26.665;54
1.094;-13.998;-43.068;26.665;54
1.125;-14.006;-43.068;26.665;54
1.156;-13.975;-43.068;26.665;54
1.188;-13.998;-43.068;26.665;54
1.219;-13.943;-43.068;26.677;54
1.250;-14.014;-43.068;26.665;54
1.281;-14.099;-43.068;26.665;54
1.313;-14.435;-43.068;26.665;54
1.344;-14.404;-43.068;26.665;54
1.375;-14.349;-43.068;26.677;54
1.406;-14.294;-43.068;26.677;54
1.438;-14.287;-43.068;26.665;54
1.469;-14.255;-43.068;26.665;54
1.500;-14.162;-43.068;26.677;54
1.531;-14.115;-43.068;26.665;54
1.563;-14.084;-43.068;26.665;54
1.594;-14.014;-43.068;26.677;54
1.625;-13.967;-43.068;26.677;54
1.656;-13.889;-43.068;26.665;54
1.688;-13.826;-43.068;26.677;54
1.719;-13.772;-43.068;26.677;54
1.750;-13.951;-43.068;26.677;54
1.781;-13.873;-43.068;26.677;54
1.813;-13.78;-43.068;26.677;54
1.844;-13.709;-43.068;26.665;54
1.875;-13.639;-43.068;26.677;54
1.906;-13.553;-43.068;26.677;54
1.938;-13.491;-43.068;26.677;54
1.969;-13.397;-43.068;26.677;54
2.000;-13.335;-43.068;26.677;54
2.031;-13.265;-43.068;26.677;54
2.063;-13.21;-43.068;26.677;54
2.094;-13.156;-43.068;26.677;54
2.125;-13.062;-43.068;26.677;54
2.156;-12.984;-43.068;26.677;54
2.188;-13.218;-43.068;26.677;54
2.219;-13.171;-43.068;26.665;54
2.250;-13.14;-43.068;26.677;54
2.281;-13.093;-43.068;26.677;54
2.313;-13.054;-43.068;26.665;54
2.344;-12.976;-43.068;26.665;54
2.375;-12.898;-43.068;26.665;53
2.406;-12.875;-43.068;26.677;53
2.438;-12.805;-43.068;26.677;53
2.469;-12.727;-43.068;26.677;53
2.500;-12.672;-43.068;26.677;53
2.531;-12.625;-43.068;26.677;53
2.563;-12.594;-43.068;26.677;53
2.594;-12.578;-43.068;26.677;53
2.625;-12.797;-43.068;26.677;53
2.656;-12.719;-43.068;26.677;53
2.688;-12.688;-43.068;26.677;53
2.719;-12.633;-43.068;26.677;53
2.750;-12.633;-43.068;26.677;53
2.781;-12.61;-43.068;26.677;53
2.813;-12.594;-43.068;26.677;53
2.844;-12.586;-43.068;26.677;53
2.875;-12.555;-43.068;26.677;53
2.906;-12.539;-43.068;26.677;53
2.938;-12.547;-43.068;26.677;53
2.969;-12.563;-43.068;26.677;53
3.000;-12.547;-43.068;26.677;53
3.031;-12.547;-43.068;26.677;53
3.063;-12.836;-43.068;26.677;53
3.094;-12.781;-43.068;26.677;53
3.125;-12.758;-43.068;26.677;53
3.156;-12.734;-43.068;26.677;53
3.188;-12.773;-43.068;26.677;53
3.219;-12.844;-43.068;26.677;53
3.250;-12.851;-43.068;26.677;53
3.281;-12.867;-43.068;26.677;53
3.313;-12.844;-43.081;26.677;54
3.344;-12.914;-43.081;26.677;54
3.375;-12.929;-43.081;26.677;54
3.406;-12.945;-43.081;26.677;54
3.438;-12.922;-43.081;26.677;54
3.469;-12.953;-43.081;26.677;54
3.500;-13.046;-43.081;26.677;54
3.531;-13.054;-43.081;26.677;54
3.563;-13.07;-43.081;26.677;54
3.594;-13.109;-43.081;26.677;54
3.625;-13.124;-43.081;26.677;54
3.656;-13.156;-43.081;26.677;54
3.688;-13.179;-43.081;26.677;54
3.719;-13.218;-43.081;26.677;54
3.750;-13.241;-43.081;26.677;54
3.781;-13.257;-43.081;26.665;54
3.813;-13.273;-43.081;26.677;54
