t;Respiration;GSR;Temperature;CFM
0.000;-10.855;-47.773;21.572;77.000
0.031;-10.636;-47.810;21.572;77.000
0.063;-10.433;-47.835;21.572;77.000
0.094;-10.285;-47.860;21.572;77.000
0.125;-10.137;-47.885;21.572;77.000
0.156;-10.004;-47.923;21.572;77.000
0.188;-9.926;-47.948;21.572;77.000
0.219;-9.864;-47.973;21.572;77.000
0.250;-9.770;-47.973;21.585;76.000
0.281;-9.708;-47.973;21.585;76.000
0.313;-9.646;-47.973;21.585;76.000
0.344;-9.591;-47.973;21.585;76.000
0.375;-9.521;-47.973;21.572;76.000
0.406;-9.490;-47.973;21.585;76.000
0.438;-9.544;-47.973;21.585;76.000
0.469;-9.482;-47.973;21.585;76.000
0.500;-9.458;-47.973;21.585;76.000
0.531;-9.427;-47.973;21.585;76.000
0.563;-9.404;-47.973;21.585;76.000
0.594;-9.388;-47.973;21.585;76.000
0.625;-9.357;-47.973;21.585;76.000
0.656;-9.349;-47.973;21.585;76.000
0.688;-9.357;-47.973;21.585;76.000
0.719;-9.326;-47.973;21.585;76.000
0.750;-9.318;-47.973;21.585;76.000
0.781;-9.318;-47.973;21.585;76.000
0.813;-9.310;-47.973;21.585;76.000
0.844;-9.287;-47.973;21.585;76.000
0.875;-9.341;-47.973;21.585;76.000
0.906;-9.318;-47.973;21.585;76.000
0.938;-9.287;-47.973;21.585;76.000
0.969;-9.318;-47.973;21.585;76.000
1.000;-9.263;-47.973;21.585;76.000
1.031;-9.287;-47.973;21.597;76.000
1.063;-9.209;-47.973;21.597;76.000
1.094;-9.201;-47.973;21.585;76.000
1.125;-9.193;-47.973;21.597;76.000
1.156;-9.170;-47.973;21.597;76.000
1.188;-9.139;-47.973;21.597;76.000
1.219;-9.123;-47.973;21.597;76.000
1.250;-9.139;-47.973;21.597;76.000
1.281;-9.092;-47.973;21.597;76.000
1.313;-9.068;-47.973;21.597;76.000
1.344;-9.076;-47.973;21.597;76.000
1.375;-9.045;-47.973;21.597;76.000
1.406;-8.889;-47.973;21.597;76.000
1.438;-8.725;-47.973;21.597;76.000
1.469;-8.694;-47.973;21.597;76.000
1.500;-8.678;-47.973;21.610;76.000
1.531;-8.608;-47.973;21.610;76.000
1.563;-8.616;-47.973;21.597;76.000
1.594;-8.632;-47.973;21.610;76.000
1.625;-8.694;-47.973;21.610;76.000
1.656;-8.710;-47.973;21.610;76.000
1.688;-8.764;-47.973;21.610;76.000
1.719;-8.803;-47.973;21.610;76.000
1.750;-8.897;-47.973;21.610;76.000
1.781;-8.928;-47.973;21.610;76.000
1.813;-8.951;-47.973;21.610;76.000
1.844;-8.983;-47.973;21.610;76.000
1.875;-9.022;-47.973;21.610;75.000
1.906;-9.076;-47.973;21.610;75.000
1.938;-9.131;-47.973;21.610;75.000
1.969;-9.185;-47.973;21.610;75.000
2.000;-9.217;-47.973;21.610;75.000
2.031;-9.279;-47.973;21.610;75.000
2.063;-9.357;-47.973;21.622;75.000
2.094;-9.349;-47.973;21.622;75.000
2.125;-9.349;-47.973;21.610;75.000
2.156;-9.365;-47.973;21.622;75.000
2.188;-9.341;-47.973;21.622;75.000
2.219;-9.334;-47.973;21.622;75.000
2.250;-9.318;-47.973;21.622;75.000
2.281;-9.341;-47.973;21.622;75.000
2.313;-9.302;-47.973;21.622;75.000
2.344;-9.279;-47.973;21.622;75.000
2.375;-9.318;-47.973;21.622;75.000
2.406;-9.271;-47.973;21.635;75.000
2.438;-9.279;-47.973;21.635;75.000
2.469;-9.256;-47.973;21.622;75.000
2.500;-9.248;-47.973;21.622;75.000
2.531;-9.256;-47.973;21.635;75.000
2.563;-9.295;-47.973;21.635;75.000
2.594;-9.326;-47.973;21.635;75.000
2.625;-9.318;-47.973;21.635;75.000
2.656;-9.318;-47.973;21.635;75.000
2.688;-9.326;-47.973;21.635;75.000
2.719;-9.302;-47.973;21.635;75.000
2.750;-9.310;-47.973;21.635;75.000
2.781;-9.310;-47.973;21.635;75.000
2.813;-9.279;-47.973;21.635;75.000
2.844;-9.302;-47.973;21.635;75.000
2.875;-9.256;-47.973;21.635;75.000
2.906;-9.279;-47.973;21.635;75.000
2.938;-9.256;-47.973;21.635;75.000
2.969;-9.240;-47.973;21.635;75.000
3.000;-9.201;-47.973;21.635;75.000
3.031;-9.193;-47.973;21.635;75.000
3.063;-9.193;-47.973;21.635;75.000
3.094;-9.146;-47.973;21.635;75.000
3.125;-9.162;-47.973;21.635;75.000
3.156;-9.146;-47.973;21.635;75.000
3.188;-9.107;-47.973;21.647;75.000
3.219;-9.084;-47.973;21.635;75.000
3.250;-9.076;-47.973;21.635;75.000
3.281;-9.061;-47.973;21.635;75.000
3.313;-9.029;-47.973;21.635;75.000
3.344;-9.029;-47.973;21.635;75.000
3.375;-8.998;-47.973;21.635;75.000
3.406;-8.990;-47.973;21.635;75.000
3.438;-8.959;-47.973;21.635;74.000
3.469;-8.951;-47.973;21.635;74.000
3.500;-8.936;-47.973;21.635;74.000
3.531;-8.936;-47.973;21.635;74.000
3.563;-8.944;-47.973;21.635;74.000
3.594;-8.912;-47.973;21.635;74.000
3.625;-8.951;-47.973;21.635;74.000
3.656;-8.920;-47.973;21.635;74.000
3.688;-8.912;-47.973;21.635;74.000
3.719;-8.912;-47.973;21.635;74.000
3.750;-8.920;-47.973;21.635;74.000
3.781;-8.944;-47.973;21.635;74.000
3.813;-8.897;-47.973;21.635;74.000
3.844;-8.936;-47.973;21.635;74.000
3.875;-8.928;-47.973;21.635;74.000
3.906;-8.975;-47.973;21.635;74.000
3.938;-8.990;-47.973;21.635;74.000
3.969;-9.022;-47.973;21.635;74.000
4.000;-9.053;-47.973;21.635;74.000
4.031;-9.029;-47.973;21.635;74.000
4.063;-9.053;-47.973;21.635;74.000
4.094;-9.037;-47.973;21.635;74.000
4.125;-9.068;-47.973;21.635;74.000
