t;Respiration;GSR;Temperature;CFM
0.000;9.792;-48.936;22.711;51
0.031;10.393;-48.936;22.711;51
0.063;10.915;-48.936;22.711;51
0.094;11.251;-48.936;22.711;51
0.125;11.43;-48.936;22.711;51
0.156;11.594;-48.936;22.711;51
0.188;11.773;-48.936;22.711;51
0.219;11.953;-48.936;22.711;51
0.250;12.054;-48.936;22.711;51
0.281;12.023;-48.936;22.711;51
0.313;11.898;-48.936;22.711;51
0.344;11.75;-48.936;22.711;51
0.375;11.609;-48.936;22.711;51
0.406;11.524;-48.936;22.711;51
0.438;11.508;-48.936;22.711;51
0.469;11.492;-48.936;22.711;51
0.500;11.539;-48.936;22.711;51
0.531;11.633;-48.936;22.711;51
0.563;11.703;-48.936;22.711;51
0.594;11.719;-48.936;22.711;51
0.625;11.758;-48.936;22.711;51
0.656;11.734;-48.936;22.711;51
0.688;11.664;-48.936;22.711;51
0.719;11.57;-48.936;22.711;51
0.750;11.399;-48.936;22.711;51
0.781;11.266;-48.936;22.711;51
0.813;11.149;-48.936;22.711;51
0.844;11.001;-48.936;22.711;51
0.875;10.837;-48.936;22.711;51
0.906;10.705;-48.936;22.711;51
0.938;10.556;-48.936;22.711;51
0.969;10.455;-48.936;22.698;51
1.000;10.346;-48.936;22.698;51
1.031;10.283;-48.936;22.711;51
1.063;10.182;-48.936;22.711;51
1.094;10.081;-48.936;22.711;51
1.125;10.01;-48.936;22.711;51
1.156;9.971;-48.936;22.711;51
1.188;9.909;-48.936;22.711;51
1.219;9.87;-48.936;22.711;51
1.250;9.839;-48.936;22.711;51
1.281;9.823;-48.936;22.711;51
1.313;9.769;-48.936;22.711;51
1.344;9.722;-48.936;22.711;51
1.375;9.683;-48.936;22.711;51
1.406;9.62;-48.936;22.711;51
1.438;9.558;-48.936;22.698;51
1.469;9.48;-48.936;22.711;51
1.500;9.449;-48.936;22.698;51
1.531;9.394;-48.936;22.711;51
1.563;9.324;-48.936;22.698;51
1.594;9.324;-48.936;22.698;51
1.625;9.308;-48.936;22.711;51
1.656;9.293;-48.936;22.698;51
1.688;9.277;-48.936;22.698;51
1.719;9.238;-48.936;22.711;51
1.750;9.004;-48.936;22.711;51
1.781;8.996;-48.936;22.698;51
1.813;9.02;-48.936;22.698;51
1.844;9.067;-48.936;22.698;51
1.875;9.113;-48.936;22.698;51
1.906;9.152;-48.936;22.711;51
1.938;9.199;-48.936;22.711;51
1.969;9.215;-48.936;22.711;51
2.000;9.285;-48.936;22.711;51
2.031;9.379;-48.936;22.711;51
2.063;9.511;-48.936;22.711;51
2.094;9.667;-48.936;22.698;51
2.125;9.901;-48.936;22.711;51
2.156;10.065;-48.936;22.711;51
2.188;10.221;-48.936;22.698;51
2.219;10.338;-48.936;22.711;51
2.250;10.502;-48.936;22.698;51
2.281;10.642;-48.936;22.711;51
2.313;10.681;-48.936;22.711;51
2.344;10.759;-48.936;22.711;51
2.375;10.806;-48.936;22.698;51
2.406;10.837;-48.936;22.711;51
