t;Respiration;GSR;Temperature;CFM
0.000;-18.670;-39.114;22.923;84.000
0.031;-18.670;-39.114;22.923;84.000
0.063;-18.670;-39.114;22.923;84.000
0.094;-18.670;-39.114;22.923;84.000
0.125;-18.670;-39.114;22.923;84.000
0.156;-18.670;-39.114;22.923;84.000
0.188;-18.670;-39.127;22.923;84.000
0.219;-18.670;-39.127;22.923;84.000
0.250;-18.670;-39.127;22.911;85.000
0.281;-18.670;-39.127;22.923;85.000
0.313;-18.670;-39.127;22.923;85.000
0.344;-18.670;-39.127;22.923;85.000
0.375;-18.670;-39.127;22.923;85.000
0.406;-18.670;-39.127;22.923;85.000
0.438;-18.670;-39.127;22.923;85.000
0.469;-18.670;-39.127;22.923;85.000
0.500;-18.670;-39.127;22.923;85.000
0.531;-18.670;-39.127;22.923;85.000
0.563;-18.670;-39.127;22.923;85.000
0.594;-18.670;-39.127;22.911;85.000
0.625;-18.670;-39.139;22.923;85.000
0.656;-18.670;-39.139;22.923;85.000
0.688;-18.670;-39.139;22.923;85.000
0.719;-18.670;-39.139;22.923;85.000
0.750;-18.670;-39.139;22.923;85.000
0.781;-18.670;-39.139;22.911;85.000
0.813;-18.670;-39.139;22.911;85.000
0.844;-18.670;-39.139;22.911;85.000
0.875;-18.670;-39.139;22.923;86.000
0.906;-18.670;-39.139;22.923;86.000
0.938;-18.670;-39.139;22.923;86.000
0.969;-18.670;-39.139;22.923;86.000
1.000;-18.670;-39.139;22.923;86.000
1.031;-18.670;-39.139;22.911;86.000
1.063;-18.670;-39.139;22.923;86.000
1.094;-18.670;-39.139;22.911;86.000
1.125;-18.670;-39.139;22.923;86.000
1.156;-18.670;-39.139;22.911;86.000
1.188;-18.670;-39.139;22.923;86.000
1.219;-18.670;-39.139;22.923;86.000
1.250;-18.670;-39.152;22.923;86.000
1.281;-18.670;-39.152;22.923;86.000
1.313;-18.670;-39.152;22.923;86.000
1.344;-18.670;-39.152;22.923;86.000
1.375;-18.670;-39.152;22.923;86.000
1.406;-18.670;-39.152;22.923;86.000
1.438;-18.670;-39.152;22.923;86.000
1.469;-18.670;-39.152;22.923;86.000
1.500;-18.670;-39.152;22.923;86.000
1.531;-18.670;-39.152;22.923;86.000
1.563;-18.670;-39.152;22.923;86.000
1.594;-18.670;-39.152;22.923;86.000
1.625;-18.670;-39.152;22.923;86.000
1.656;-18.670;-39.152;22.923;86.000
1.688;-18.670;-39.152;22.923;86.000
1.719;-18.670;-39.152;22.923;86.000
1.750;-18.670;-39.152;22.923;86.000
1.781;-18.670;-39.152;22.923;86.000
1.813;-18.670;-39.152;22.923;86.000
1.844;-18.670;-39.152;22.923;86.000
1.875;-18.670;-39.152;22.923;86.000
1.906;-18.670;-39.152;22.923;86.000
1.938;-18.670;-39.164;22.923;86.000
1.969;-18.670;-39.164;22.911;86.000
2.000;-18.670;-39.164;22.923;86.000
2.031;-18.670;-39.164;22.923;86.000
2.063;-18.670;-39.164;22.923;86.000
2.094;-18.670;-39.164;22.923;86.000
2.125;-18.670;-39.164;22.923;86.000
2.156;-18.670;-39.164;22.923;86.000
2.188;-18.670;-39.164;22.923;86.000
2.219;-18.670;-39.164;22.923;86.000
2.250;-18.670;-39.164;22.923;86.000
2.281;-18.670;-39.164;22.923;86.000
2.313;-18.670;-39.164;22.923;86.000
2.344;-18.670;-39.164;22.923;86.000
2.375;-18.670;-39.164;22.923;86.000
2.406;-18.670;-39.164;22.923;86.000
2.438;-18.670;-39.164;22.923;86.000
2.469;-18.655;-39.164;22.923;86.000
2.500;-18.577;-39.164;22.923;86.000
2.531;-18.522;-39.164;22.923;86.000
2.563;-18.460;-39.164;22.923;86.000
2.594;-18.382;-39.164;22.923;86.000
2.625;-18.366;-39.164;22.923;86.000
2.656;-18.288;-39.164;22.923;86.000
2.688;-18.202;-39.164;22.911;86.000
2.719;-18.171;-39.164;22.923;86.000
2.750;-18.116;-39.164;22.923;86.000
2.781;-18.077;-39.164;22.923;86.000
2.813;-18.031;-39.164;22.923;86.000
2.844;-18.007;-39.164;22.923;86.000
2.875;-18.031;-39.164;22.923;86.000
2.906;-18.077;-39.164;22.923;86.000
2.938;-18.077;-39.164;22.923;86.000
2.969;-18.140;-39.164;22.911;86.000
3.000;-18.179;-39.164;22.923;86.000
3.031;-18.249;-39.164;22.923;86.000
3.063;-18.265;-39.164;22.923;86.000
3.094;-18.319;-39.164;22.923;86.000
3.125;-18.343;-39.164;22.923;86.000
3.156;-18.389;-39.164;22.923;86.000
3.188;-18.444;-39.164;22.923;86.000
3.219;-18.483;-39.152;22.923;86.000
3.250;-18.522;-39.152;22.923;86.000
3.281;-18.545;-39.152;22.923;86.000
3.313;-18.608;-39.152;22.923;86.000
3.344;-18.647;-39.152;22.923;86.000
3.375;-18.670;-39.152;22.923;86.000
3.406;-18.670;-39.152;22.923;86.000
3.438;-18.670;-39.152;22.923;86.000
3.469;-18.670;-39.152;22.923;86.000
3.500;-18.670;-39.152;22.923;86.000
3.531;-18.670;-39.152;22.923;86.000
3.563;-18.670;-39.152;22.923;86.000
3.594;-18.670;-39.152;22.923;86.000
3.625;-18.670;-39.139;22.923;87.000
3.656;-18.670;-39.139;22.923;87.000
3.688;-18.670;-39.139;22.923;87.000
3.719;-18.670;-39.139;22.923;87.000
3.750;-18.670;-39.139;22.923;87.000
3.781;-18.670;-39.139;22.923;87.000
3.813;-18.670;-39.139;22.923;87.000
3.844;-18.670;-39.139;22.923;87.000
3.875;-18.670;-39.139;22.923;87.000
3.906;-18.670;-39.139;22.923;87.000
3.938;-18.670;-39.139;22.923;87.000
3.969;-18.670;-39.139;22.923;87.000
4.000;-18.670;-39.139;22.923;87.000
4.031;-18.670;-39.139;22.923;87.000
4.063;-18.670;-39.139;22.923;87.000
