t;Respiration;GSR;Temperature;CFM
0.000;0.479;-42.705;22.623;58.000
0.031;0.760;-42.705;22.623;58.000
0.063;0.947;-42.705;22.636;58.000
0.094;1.126;-42.705;22.623;58.000
0.125;1.306;-42.705;22.636;58.000
0.156;1.430;-42.693;22.636;58.000
0.188;1.555;-42.693;22.636;58.000
0.219;1.664;-42.693;22.636;58.000
0.250;1.735;-42.693;22.636;58.000
0.281;1.836;-42.693;22.636;58.000
0.313;1.906;-42.693;22.636;58.000
0.344;1.961;-42.693;22.636;58.000
0.375;2.015;-42.693;22.648;58.000
0.406;2.070;-42.693;22.636;58.000
0.438;1.891;-42.693;22.661;58.000
0.469;1.937;-42.693;22.648;58.000
0.500;1.992;-42.693;22.648;58.000
0.531;2.054;-42.693;22.648;58.000
0.563;2.078;-42.693;22.648;58.000
0.594;2.109;-42.693;22.648;58.000
0.625;2.187;-42.693;22.648;58.000
0.656;2.210;-42.693;22.661;58.000
0.688;2.257;-42.705;22.661;58.000
0.719;2.273;-42.705;22.661;58.000
0.750;2.234;-42.705;22.661;58.000
0.781;2.249;-42.705;22.661;58.000
0.813;2.242;-42.705;22.661;58.000
0.844;2.242;-42.705;22.661;58.000
0.875;2.054;-42.693;22.673;58.000
0.906;2.039;-42.693;22.661;58.000
0.938;2.062;-42.693;22.661;58.000
0.969;2.062;-42.705;22.673;58.000
1.000;2.078;-42.705;22.673;58.000
1.031;2.062;-42.705;22.673;58.000
1.063;2.070;-42.705;22.673;58.000
1.094;2.078;-42.705;22.673;58.000
1.125;2.101;-42.705;22.673;58.000
1.156;2.117;-42.705;22.673;58.000
1.188;2.179;-42.705;22.673;58.000
1.219;2.203;-42.705;22.673;58.000
1.250;2.234;-42.705;22.673;58.000
1.281;2.242;-42.705;22.686;58.000
1.313;1.961;-42.705;22.711;58.000
1.344;2.008;-42.705;22.673;58.000
1.375;2.015;-42.705;22.673;58.000
1.406;2.062;-42.705;22.686;58.000
1.438;2.054;-42.705;22.686;58.000
1.469;2.070;-42.705;22.686;58.000
1.500;2.117;-42.705;22.686;58.000
1.531;2.101;-42.705;22.686;58.000
1.563;2.164;-42.718;22.686;58.000
1.594;2.179;-42.718;22.686;58.000
1.625;2.218;-42.718;22.686;58.000
1.656;2.257;-42.718;22.686;58.000
1.688;2.288;-42.718;22.686;58.000
1.719;2.351;-42.718;22.698;58.000
1.750;2.148;-42.718;22.698;58.000
1.781;2.288;-42.718;22.698;58.000
1.813;2.390;-42.718;22.698;58.000
1.844;2.452;-42.718;22.698;58.000
1.875;2.499;-42.718;22.698;58.000
1.906;2.577;-42.718;22.698;58.000
1.938;2.655;-42.718;22.698;57.000
1.969;2.733;-42.718;22.698;57.000
2.000;2.795;-42.730;22.698;57.000
2.031;2.858;-42.730;22.698;57.000
2.063;2.951;-42.730;22.698;57.000
2.094;3.029;-42.730;22.698;57.000
2.125;3.092;-42.730;22.698;57.000
2.156;3.154;-42.730;22.698;57.000
2.188;3.029;-42.730;22.773;57.000
2.219;3.115;-42.730;22.711;57.000
2.250;3.232;-42.730;22.711;57.000
2.281;3.302;-42.730;22.711;57.000
2.313;3.412;-42.730;22.711;57.000
2.344;3.544;-42.730;22.711;57.000
2.375;3.638;-42.730;22.711;57.000
2.406;3.755;-42.730;22.711;57.000
2.438;3.880;-42.743;22.711;57.000
2.469;3.989;-42.743;22.723;57.000
2.500;4.082;-42.743;22.723;57.000
2.531;4.215;-42.743;22.723;57.000
2.563;4.301;-42.743;22.711;57.000
2.594;4.371;-42.743;22.723;57.000
2.625;4.246;-42.743;22.723;57.000
2.656;4.348;-42.743;22.723;57.000
2.688;4.488;-42.743;22.723;57.000
2.719;4.527;-42.743;22.723;57.000
2.750;4.535;-42.743;22.723;57.000
2.781;4.519;-42.743;22.723;57.000
2.813;4.511;-42.743;22.723;57.000
2.844;4.472;-42.743;22.723;57.000
2.875;4.371;-42.755;22.736;57.000
2.906;4.231;-42.755;22.736;57.000
2.938;4.114;-42.755;22.736;57.000
2.969;3.997;-42.755;22.736;57.000
3.000;3.934;-42.755;22.736;56.000
3.031;3.833;-42.755;22.736;56.000
3.063;3.451;-42.755;22.761;56.000
3.094;3.365;-42.755;22.736;56.000
3.125;3.341;-42.755;22.736;56.000
3.156;3.279;-42.755;22.748;56.000
3.188;3.224;-42.755;22.736;56.000
3.219;3.178;-42.755;22.748;56.000
3.250;3.123;-42.755;22.748;56.000
3.281;3.084;-42.755;22.748;56.000
3.313;3.029;-42.768;22.748;56.000
3.344;3.022;-42.768;22.748;56.000
3.375;2.967;-42.768;22.748;56.000
3.406;2.951;-42.768;22.748;56.000
3.438;2.944;-42.768;22.761;56.000
3.469;2.897;-42.768;22.761;56.000
3.500;2.616;-42.768;22.761;56.000
3.531;2.616;-42.768;22.761;56.000
3.563;2.624;-42.768;22.761;56.000
3.594;2.647;-42.768;22.761;56.000
3.625;2.632;-42.768;22.761;56.000
3.656;2.624;-42.768;22.761;56.000
3.688;2.624;-42.768;22.761;56.000
3.719;2.632;-42.768;22.761;56.000
3.750;2.593;-42.780;22.761;56.000
3.781;2.600;-42.780;22.761;56.000
3.813;2.600;-42.780;22.761;56.000
3.844;2.608;-42.780;22.761;56.000
3.875;2.600;-42.780;22.761;56.000
3.906;2.624;-42.780;22.761;56.000
3.938;2.429;-42.780;22.798;56.000
3.969;2.444;-42.780;22.761;56.000
4.000;2.437;-42.780;22.761;56.000
4.031;2.452;-42.780;22.773;56.000
4.063;2.437;-42.780;22.773;55.000
4.094;2.460;-42.780;22.773;55.000
4.125;2.499;-42.780;22.773;55.000
4.156;2.468;-42.780;22.773;55.000
4.188;2.452;-42.793;22.773;55.000
4.219;2.460;-42.793;22.773;55.000
4.250;2.483;-42.793;22.773;55.000
4.281;2.468;-42.793;22.773;55.000
4.313;2.483;-42.793;22.773;55.000
4.344;2.483;-42.793;22.786;55.000
4.375;2.234;-42.793;22.786;55.000
4.406;2.273;-42.793;22.786;55.000
4.438;2.296;-42.793;22.786;55.000
4.469;2.343;-42.793;22.786;55.000
4.500;2.366;-42.793;22.786;55.000
4.531;2.413;-42.793;22.786;55.000
4.563;2.413;-42.793;22.786;55.000
4.594;2.405;-42.793;22.786;55.000
4.625;2.413;-42.805;22.786;55.000
4.656;2.413;-42.805;22.786;55.000
4.688;2.429;-42.805;22.786;55.000
4.719;2.429;-42.805;22.786;55.000
4.750;2.429;-42.805;22.786;55.000
4.781;2.429;-42.805;22.786;55.000
4.813;2.171;-42.805;22.848;55.000
4.844;2.226;-42.805;22.786;55.000
4.875;2.265;-42.805;22.798;55.000
4.906;2.296;-42.805;22.798;55.000
4.938;2.320;-42.805;22.798;55.000
4.969;2.335;-42.805;22.798;55.000
5.000;2.366;-42.805;22.798;55.000
5.031;2.421;-42.805;22.798;55.000
5.063;2.437;-42.818;22.798;55.000
5.094;2.437;-42.818;22.798;55.000
5.125;2.398;-42.818;22.798;55.000
