t;Respiration;GSR;Temperature;CFM
0.000;-1.760;-41.466;22.047;53.000
0.031;-1.448;-41.466;22.047;53.000
0.063;-1.183;-41.466;22.047;53.000
0.094;-1.019;-41.454;22.047;53.000
0.125;-0.855;-41.454;22.047;53.000
0.156;-0.676;-41.454;22.047;53.000
0.188;-0.457;-41.441;22.047;52.000
0.219;-0.278;-41.441;22.047;52.000
0.250;-0.153;-41.441;22.047;52.000
0.281;-0.075;-41.441;22.047;52.000
0.313;0.026;-41.441;22.035;52.000
0.344;0.112;-41.441;22.047;52.000
0.375;0.182;-41.441;22.047;52.000
0.406;0.245;-41.441;22.035;52.000
0.438;0.229;-41.441;22.035;52.000
0.469;0.307;-41.441;22.047;52.000
0.500;0.385;-41.441;22.035;52.000
0.531;0.479;-41.441;22.035;52.000
0.563;0.541;-41.441;22.047;52.000
0.594;0.635;-41.441;22.047;52.000
0.625;0.713;-41.441;22.035;52.000
0.656;0.775;-41.441;22.035;52.000
0.688;0.853;-41.441;22.035;52.000
0.719;0.962;-41.441;22.035;52.000
0.750;1.017;-41.441;22.035;52.000
0.781;1.056;-41.441;22.035;52.000
0.813;1.126;-41.441;22.035;52.000
0.844;1.165;-41.441;22.035;52.000
0.875;1.189;-41.441;22.035;52.000
0.906;1.220;-41.441;22.035;52.000
0.938;1.259;-41.441;22.035;52.000
0.969;1.298;-41.441;22.035;52.000
1.000;1.321;-41.441;22.035;52.000
1.031;1.329;-41.441;22.035;52.000
1.063;1.376;-41.441;22.035;52.000
1.094;1.399;-41.441;22.035;52.000
1.125;1.415;-41.441;22.035;52.000
1.156;1.454;-41.441;22.035;52.000
1.188;1.446;-41.441;22.035;52.000
1.219;1.415;-41.441;22.035;52.000
1.250;1.399;-41.441;22.035;52.000
1.281;1.430;-41.441;22.035;52.000
1.313;1.384;-41.441;22.035;51.000
1.344;1.352;-41.441;22.035;51.000
1.375;1.298;-41.441;22.035;51.000
1.406;1.267;-41.441;22.035;51.000
1.438;1.243;-41.441;22.035;51.000
1.469;1.212;-41.441;22.035;51.000
1.500;1.150;-41.441;22.035;51.000
1.531;1.048;-41.441;22.035;51.000
1.563;0.970;-41.441;22.035;51.000
1.594;0.900;-41.441;22.035;51.000
1.625;0.814;-41.441;22.035;51.000
1.656;0.775;-41.441;22.035;51.000
1.688;0.650;-41.441;22.022;51.000
1.719;0.557;-41.441;22.035;51.000
1.750;0.416;-41.441;22.022;51.000
1.781;0.284;-41.441;22.022;51.000
1.813;0.214;-41.441;22.022;51.000
1.844;0.104;-41.441;22.035;51.000
1.875;-0.020;-41.441;22.022;51.000
1.906;-0.067;-41.441;22.022;51.000
1.938;-0.176;-41.441;22.022;51.000
1.969;-0.262;-41.441;22.035;51.000
2.000;-0.332;-41.441;22.022;51.000
2.031;-0.379;-41.441;22.022;51.000
2.063;-0.426;-41.441;22.022;51.000
2.094;-0.520;-41.441;22.022;51.000
2.125;-0.590;-41.441;22.022;51.000
2.156;-0.652;-41.441;22.035;51.000
2.188;-0.738;-41.441;22.022;51.000
2.219;-0.777;-41.441;22.022;51.000
2.250;-0.800;-41.441;22.022;51.000
2.281;-0.894;-41.441;22.022;51.000
2.313;-1.019;-41.441;22.022;51.000
2.344;-1.081;-41.441;22.022;51.000
2.375;-1.151;-41.441;22.022;51.000
2.406;-1.190;-41.441;22.022;51.000
2.438;-1.237;-41.441;22.022;51.000
2.469;-1.300;-41.441;22.022;51.000
2.500;-1.401;-41.441;22.022;51.000
2.531;-1.463;-41.441;22.022;51.000
2.563;-1.495;-41.441;22.022;51.000
2.594;-1.573;-41.441;22.022;51.000
2.625;-1.690;-41.441;22.022;51.000
2.656;-1.705;-41.441;22.022;51.000
2.688;-1.736;-41.441;22.022;51.000
2.719;-1.752;-41.441;22.022;51.000
2.750;-1.752;-41.441;22.022;51.000
2.781;-1.830;-41.441;22.022;51.000
2.813;-1.838;-41.441;22.022;51.000
2.844;-1.877;-41.441;22.022;51.000
2.875;-1.924;-41.441;22.022;51.000
2.906;-1.955;-41.441;22.022;51.000
2.938;-2.009;-41.441;22.022;51.000
2.969;-2.033;-41.441;22.022;51.000
3.000;-2.017;-41.441;22.022;51.000
3.031;-2.080;-41.441;22.022;51.000
3.063;-2.150;-41.441;22.022;51.000
3.094;-2.173;-41.441;22.022;51.000
3.125;-2.212;-41.441;22.022;51.000
3.156;-2.251;-41.441;22.022;51.000
3.188;-2.251;-41.441;22.022;51.000
3.219;-2.236;-41.441;22.022;51.000
3.250;-2.236;-41.441;22.022;51.000
3.281;-2.228;-41.441;22.022;51.000
3.313;-2.228;-41.441;22.010;51.000
3.344;-2.236;-41.441;22.010;51.000
3.375;-2.189;-41.441;22.022;51.000
3.406;-2.189;-41.441;22.022;51.000
3.438;-2.197;-41.441;22.022;51.000
3.469;-2.212;-41.441;22.022;51.000
3.500;-2.259;-41.441;22.010;51.000
3.531;-2.243;-41.441;22.010;51.000
3.563;-2.259;-41.441;22.010;51.000
3.594;-2.275;-41.441;22.022;51.000
3.625;-2.321;-41.441;22.010;51.000
3.656;-2.345;-41.441;22.010;51.000
3.688;-2.314;-41.441;22.010;51.000
3.719;-2.329;-41.441;22.010;51.000
3.750;-2.353;-41.441;22.010;51.000
3.781;-2.337;-41.441;22.022;51.000
3.813;-2.345;-41.441;22.010;51.000
3.844;-2.345;-41.441;22.010;51.000
3.875;-2.314;-41.441;22.010;51.000
3.906;-2.321;-41.441;22.010;51.000
3.938;-2.329;-41.441;22.022;51.000
3.969;-2.314;-41.441;22.010;51.000
4.000;-2.314;-41.441;22.022;51.000
4.031;-2.298;-41.429;22.010;51.000
4.063;-2.282;-41.429;22.010;51.000
4.094;-2.314;-41.429;22.010;51.000
4.125;-2.306;-41.429;22.010;51.000
4.156;-2.314;-41.429;22.010;51.000
4.188;-2.282;-41.429;22.010;51.000
4.219;-2.298;-41.429;22.010;51.000
4.250;-2.306;-41.429;22.010;51.000
4.281;-2.298;-41.429;22.010;51.000
4.313;-2.298;-41.429;22.010;51.000
4.344;-2.321;-41.429;22.010;51.000
4.375;-2.329;-41.429;22.010;51.000
4.406;-2.321;-41.429;22.010;51.000
4.438;-2.306;-41.429;22.010;51.000
4.469;-2.298;-41.416;22.010;51.000
4.500;-2.298;-41.416;22.010;51.000
4.531;-2.314;-41.416;22.010;51.000
4.563;-2.298;-41.416;22.010;51.000
