t;Respiration;GSR;Temperature;CFM
0.000;-8.600;-48.936;26.777;79.000
0.031;-8.327;-48.936;26.777;79.000
0.063;-8.070;-48.936;26.777;79.000
0.094;-7.844;-48.936;26.777;79.000
0.125;-7.657;-48.936;26.777;79.000
0.156;-7.501;-48.936;26.777;79.000
0.188;-7.360;-48.936;26.777;79.000
0.219;-7.212;-48.936;26.777;79.000
0.250;-7.111;-48.936;26.777;79.000
0.281;-6.955;-48.936;26.777;79.000
0.313;-6.822;-48.936;26.777;79.000
0.344;-6.705;-48.936;26.777;79.000
0.375;-6.565;-48.936;26.777;79.000
0.406;-6.448;-48.936;26.765;79.000
0.438;-6.346;-48.936;26.777;79.000
0.469;-6.175;-48.936;26.777;79.000
0.500;-6.042;-48.936;26.765;79.000
0.531;-5.886;-48.936;26.765;79.000
0.563;-5.753;-48.936;26.765;79.000
0.594;-5.605;-48.936;26.765;79.000
0.625;-5.465;-48.936;26.765;79.000
0.656;-5.278;-48.936;26.765;79.000
0.688;-5.075;-48.936;26.765;79.000
0.719;-4.888;-48.936;26.765;79.000
0.750;-4.810;-48.936;26.765;79.000
0.781;-4.763;-48.936;26.765;79.000
0.813;-4.654;-48.936;26.765;79.000
0.844;-4.474;-48.936;26.765;79.000
0.875;-4.334;-48.936;26.765;79.000
0.906;-4.154;-48.936;26.765;79.000
0.938;-3.967;-48.936;26.765;79.000
0.969;-3.819;-48.936;26.765;79.000
1.000;-3.702;-48.936;26.765;79.000
1.031;-3.616;-48.936;26.765;79.000
1.063;-3.499;-48.936;26.765;79.000
1.094;-3.390;-48.936;26.765;79.000
1.125;-3.296;-48.936;26.765;79.000
1.156;-3.195;-48.936;26.765;79.000
1.188;-3.094;-48.936;26.765;79.000
1.219;-2.969;-48.936;26.765;79.000
1.250;-2.883;-48.936;26.765;79.000
1.281;-2.828;-48.936;26.765;79.000
1.313;-2.789;-48.936;26.765;79.000
1.344;-2.750;-48.936;26.765;79.000
1.375;-2.774;-48.936;26.765;79.000
1.406;-2.821;-48.936;26.765;79.000
1.438;-2.860;-48.936;26.765;79.000
1.469;-2.977;-48.936;26.765;79.000
1.500;-3.094;-48.936;26.765;79.000
1.531;-3.328;-48.936;26.765;79.000
1.563;-3.569;-48.936;26.765;79.000
1.594;-3.710;-48.936;26.765;79.000
1.625;-3.866;-48.936;26.765;79.000
1.656;-3.998;-48.936;26.765;79.000
1.688;-4.123;-48.936;26.765;80.000
1.719;-4.240;-48.936;26.765;80.000
1.750;-4.388;-48.936;26.765;80.000
1.781;-4.521;-48.936;26.765;80.000
1.813;-4.646;-48.936;26.765;80.000
1.844;-4.771;-48.936;26.765;80.000
1.875;-4.895;-48.936;26.765;80.000
1.906;-4.989;-48.936;26.765;80.000
1.938;-5.083;-48.936;26.765;80.000
1.969;-5.137;-48.936;26.765;80.000
2.000;-5.262;-48.936;26.765;80.000
2.031;-5.317;-48.936;26.765;80.000
2.063;-5.387;-48.936;26.765;80.000
2.094;-5.473;-48.936;26.777;80.000
2.125;-5.543;-48.936;26.777;80.000
2.156;-5.574;-48.936;26.765;80.000
2.188;-5.636;-48.936;26.765;80.000
2.219;-5.636;-48.936;26.765;80.000
2.250;-5.683;-48.936;26.765;80.000
2.281;-5.769;-48.936;26.777;80.000
2.313;-5.902;-48.936;26.765;80.000
2.344;-5.972;-48.936;26.765;80.000
2.375;-6.065;-48.936;26.765;80.000
2.406;-6.081;-48.936;26.777;80.000
2.438;-6.104;-48.936;26.765;80.000
2.469;-6.097;-48.936;26.777;80.000
2.500;-6.089;-48.936;26.777;80.000
2.531;-6.120;-48.936;26.765;80.000
2.563;-6.128;-48.936;26.765;80.000
2.594;-6.167;-48.936;26.765;80.000
2.625;-6.182;-48.936;26.765;80.000
2.656;-6.190;-48.936;26.765;80.000
2.688;-6.229;-48.936;26.765;80.000
2.719;-6.237;-48.936;26.765;80.000
2.750;-6.214;-48.936;26.765;80.000
2.781;-6.229;-48.936;26.765;80.000
2.813;-6.253;-48.936;26.765;80.000
2.844;-6.221;-48.936;26.765;80.000
2.875;-6.237;-48.936;26.765;80.000
2.906;-6.253;-48.936;26.765;80.000
2.938;-6.237;-48.936;26.765;80.000
2.969;-6.229;-48.936;26.765;80.000
3.000;-6.175;-48.936;26.752;80.000
3.031;-6.182;-48.936;26.752;80.000
3.063;-6.268;-48.936;26.752;80.000
3.094;-6.354;-48.936;26.752;80.000
3.125;-6.409;-48.936;26.752;80.000
3.156;-6.409;-48.936;26.752;80.000
3.188;-6.424;-48.936;26.740;80.000
3.219;-6.432;-48.936;26.752;80.000
3.250;-6.385;-48.936;26.752;80.000
3.281;-6.385;-48.936;26.740;80.000
3.313;-6.409;-48.936;26.740;80.000
3.344;-6.409;-48.936;26.752;80.000
3.375;-6.401;-48.936;26.740;80.000
3.406;-6.393;-48.936;26.740;80.000
3.438;-6.409;-48.936;26.740;80.000
3.469;-6.377;-48.936;26.740;80.000
3.500;-6.385;-48.936;26.740;80.000
3.531;-6.362;-48.936;26.740;80.000
3.563;-6.377;-48.936;26.740;80.000
3.594;-6.370;-48.936;26.740;80.000
3.625;-6.346;-48.936;26.740;80.000
3.656;-6.346;-48.936;26.740;80.000
3.688;-6.338;-48.936;26.740;80.000
3.719;-6.370;-48.936;26.740;80.000
3.750;-6.338;-48.936;26.740;80.000
3.781;-6.284;-48.936;26.740;80.000
3.813;-6.245;-48.936;26.740;80.000
3.844;-6.315;-48.936;26.740;80.000
3.875;-6.385;-48.936;26.740;80.000
3.906;-6.432;-48.936;26.740;80.000
3.938;-6.518;-48.936;26.740;80.000
3.969;-6.471;-48.936;26.740;80.000
4.000;-6.502;-48.936;26.740;78.000
4.031;-6.471;-48.936;26.740;78.000
4.063;-6.440;-48.936;26.740;78.000
4.094;-6.432;-48.936;26.740;78.000
4.125;-6.432;-48.936;26.740;78.000
4.156;-6.448;-48.936;26.740;78.000
4.188;-6.370;-48.936;26.740;78.000
4.219;-6.299;-48.936;26.740;78.000
4.250;-6.245;-48.936;26.740;78.000
4.281;-6.182;-48.936;26.740;78.000
4.313;-6.112;-48.936;26.740;78.000
4.344;-6.034;-48.936;26.740;78.000
4.375;-5.956;-48.936;26.740;78.000
4.406;-5.878;-48.936;26.727;78.000
4.438;-5.808;-48.936;26.740;78.000
4.469;-5.675;-48.936;26.740;78.000
4.500;-5.590;-48.936;26.727;78.000
4.531;-5.488;-48.936;26.740;78.000
4.563;-5.387;-48.936;26.727;78.000
4.594;-5.223;-48.936;26.740;78.000
4.625;-5.075;-48.936;26.740;78.000
4.656;-5.005;-48.936;26.727;78.000
4.688;-5.005;-48.936;26.740;78.000
4.719;-4.927;-48.936;26.727;78.000
4.750;-4.817;-48.936;26.740;78.000
4.781;-4.685;-48.936;26.727;78.000
4.813;-4.529;-48.936;26.740;76.000
4.844;-4.388;-48.936;26.740;76.000
4.875;-4.186;-48.936;26.727;76.000
4.906;-4.069;-48.936;26.727;76.000
4.938;-3.928;-48.936;26.727;76.000
4.969;-3.780;-48.936;26.740;76.000
5.000;-3.624;-48.936;26.727;76.000
5.031;-3.523;-48.936;26.727;76.000
5.063;-3.382;-48.936;26.727;76.000
5.094;-3.273;-48.936;26.727;76.000
5.125;-3.125;-48.936;26.727;76.000
5.156;-3.031;-48.936;26.727;76.000
5.188;-2.953;-48.936;26.727;76.000
5.219;-2.844;-48.936;26.727;76.000
